timestamp,experiment_id,version,input_type,model,input_channels,bands,epochs,accuracy,macro_f1,weighted_f1,balanced_accuracy,run_directory
2026-06-13T13:58:39.564306,v1_rgb_resnet18_seed42,v1,rgb,resnet18,3,"B4,B3,B2",30,0.9746296296296296,0.9737714068070408,0.9746526360633276,0.9734,results\v1\20260613_113317_v1_rgb_resnet18_seed42
2026-06-13T22:00:04.419246,v1_rgb_resnet18_scratch_seed42,v1,rgb,resnet18,3,"B4,B3,B2",30,0.9468518518518518,0.9458390014492388,0.946827690681582,0.9459333333333332,results\v1\20260613_193704_v1_rgb_resnet18_scratch_seed42
2026-06-14T00:00:00,v1_multispectral_resnet18_adapted_seed42,v1,multispectral,resnet18,13,"B1,B2,B3,B4,B5,B6,B7,B8,B8A,B9,B10,B11,B12",30,0.9546296296296296,0.9537093986129198,0.9544573974941156,0.9542833333333332,results/v1/20260614_061742_v1_multispectral_resnet18_adapted_seed42
2026-06-14T00:00:00,v1_multispectral_resnet18_scratch_seed42,v1,multispectral,resnet18,13,"B1,B2,B3,B4,B5,B6,B7,B8,B8A,B9,B10,B11,B12",30,0.932037037037037,0.929885421536454,0.9316404499998596,0.9308833333333334,results/v1/20260613_220058_v1_multispectral_resnet18_scratch_seed42
2026-06-14T14:49:31.234054,v4_ablation_rgb_nir_resnet18_pretrained_adapted_seed42,v4,multispectral,resnet18,4,"B4,B3,B2,B8",50,0.9546296296296296,0.9531297758565876,0.9544003217275854,0.9527500000000002,results\v4\20260614_133355_v4_ablation_rgb_nir_resnet18_pretrained_adapted_seed42
2026-06-14T16:51:30.636814,v4_ablation_rgb_rededge_nir_resnet18_pretrained_adapted_seed42,v4,multispectral,resnet18,8,"B4,B3,B2,B5,B6,B7,B8,B8A",50,0.9538888888888888,0.9528843506361276,0.9538515562561536,0.9527333333333332,results\v4\20260614_145249_v4_ablation_rgb_rededge_nir_resnet18_pretrained_adapted_seed42
2026-06-14T17:58:02.885651,v4_ablation_rgb_rededge_nir_swir_resnet18_pretrained_adapted_seed42,v4,multispectral,resnet18,10,"B4,B3,B2,B5,B6,B7,B8,B8A,B11,B12",50,0.9566666666666668,0.9555508997622836,0.9567428923949032,0.9543,results\v4\20260614_165954_v4_ablation_rgb_rededge_nir_swir_resnet18_pretrained_adapted_seed42
2026-06-14T19:47:20.444623,v4_ablation_physical_bands_resnet18_pretrained_adapted_seed42,v4,multispectral,resnet18,10,"B2,B3,B4,B5,B6,B7,B8,B8A,B11,B12",50,0.954074074074074,0.9527580187274356,0.9539593464899856,0.95165,results\v4\20260614_175940_v4_ablation_physical_bands_resnet18_pretrained_adapted_seed42
2026-06-14T22:12:14.288897,v4_ablation_full13_no_b10_resnet18_pretrained_adapted_seed42,v4,multispectral,resnet18,12,"B1,B2,B3,B4,B5,B6,B7,B8,B8A,B9,B11,B12",50,0.9496296296296296,0.9479227946049976,0.9493610902332874,0.94765,results\v4\20260614_204858_v4_ablation_full13_no_b10_resnet18_pretrained_adapted_seed42
2026-06-14T23:10:59.787197,v4_ablation_full13_resnet18_pretrained_adapted_seed42,v4,multispectral,resnet18,13,"B1,B2,B3,B4,B5,B6,B7,B8,B8A,B9,B10,B11,B12",50,0.9457407407407408,0.9442765688466276,0.9459222973431018,0.9449333333333334,results\v4\20260614_221844_v4_ablation_full13_resnet18_pretrained_adapted_seed42
2026-06-14T23:10:59.794988,v4_ablation_full13_resnet18_pretrained_adapted_seed42,v4,multispectral,resnet18,13,"B1,B2,B3,B4,B5,B6,B7,B8,B8A,B9,B10,B11,B12",50,0.9457407407407408,0.9442765688466276,0.9459222973431018,0.9449333333333334,results\v4\20260614_221844_v4_ablation_full13_resnet18_pretrained_adapted_seed42
2026-06-15T07:31:57.017815,v4_ablation_rgb_resnet18_pretrained_adapted_seed42,v4,multispectral,resnet18,3,"B4,B3,B2",50,0.9494444444444444,0.9480036810749348,0.9494595158783856,0.9476166666666666,results\v4\20260615_052619_v4_ablation_rgb_resnet18_pretrained_adapted_seed42
2026-06-15T07:31:57.039632,v4_ablation_rgb_resnet18_pretrained_adapted_seed42,v4,multispectral,resnet18,3,"B4,B3,B2",50,0.9494444444444444,0.9480036810749347,0.9494595158783857,0.9476166666666666,results\v4\20260615_052619_v4_ablation_rgb_resnet18_pretrained_adapted_seed42
