class,image,B1,B2,B3,B4,B5,B6,B7,B8,B8A,B9,B10,B11,B12
AnnualCrop,AnnualCrop_1.tif,1323.20263671875,1124.5146484375,1044.73193359375,1169.281494140625,1291.627197265625,1553.7548828125,1765.66943359375,1748.955322265625,484.055908203125,11.56982421875,2715.398681640625,1980.885009765625,2030.545166015625
AnnualCrop,AnnualCrop_10.tif,1187.08984375,1017.638427734375,1143.9921875,1074.07763671875,1594.368896484375,3338.721435546875,4063.2685546875,3999.7607421875,1782.841796875,16.65576171875,2161.932861328125,1466.665283203125,4308.9501953125
AnnualCrop,AnnualCrop_100.tif,1613.533935546875,1543.55908203125,1612.5849609375,1922.6953125,2114.6796875,2631.855712890625,3002.193359375,2893.6103515625,700.943603515625,15.13037109375,3569.552490234375,2664.005126953125,3337.251220703125
AnnualCrop,AnnualCrop_1000.tif,1546.874267578125,1442.861328125,1532.079833984375,1649.6494140625,1966.929443359375,3062.82958984375,3540.4990234375,3381.061279296875,771.992431640625,14.58935546875,3208.053955078125,2198.797607421875,3852.8369140625
AnnualCrop,AnnualCrop_1001.tif,1508.03955078125,1290.34912109375,1242.706298828125,1258.629638671875,1502.86962890625,2493.611083984375,3081.958251953125,2964.619873046875,930.40087890625,14.439208984375,2740.192626953125,2177.30224609375,3351.100830078125
AnnualCrop,AnnualCrop_1002.tif,1342.1220703125,1068.40283203125,1022.634521484375,738.67724609375,1133.711669921875,2802.38916015625,3459.83544921875,3225.84033203125,739.19873046875,8.101806640625,1568.46826171875,867.015625,3663.545166015625
AnnualCrop,AnnualCrop_1003.tif,1424.20458984375,1312.153076171875,1364.557861328125,1726.019775390625,1971.4677734375,2568.608642578125,3059.560791015625,3022.17041015625,843.497802734375,13.91845703125,2576.3515625,1451.095703125,3564.735107421875
AnnualCrop,AnnualCrop_1004.tif,1319.65625,1246.15771484375,1336.177734375,1658.8173828125,2027.9716796875,2917.637939453125,3452.2734375,3493.052490234375,1055.350830078125,12.240234375,2368.88330078125,1305.41650390625,4017.7421875
AnnualCrop,AnnualCrop_1005.tif,1287.600341796875,1064.4658203125,1032.705322265625,852.699951171875,1129.054931640625,2444.05029296875,3105.702392578125,2895.864990234375,556.80078125,11.159912109375,2084.09423828125,1102.706787109375,3379.04345703125
AnnualCrop,AnnualCrop_1006.tif,1413.019287109375,1243.884033203125,1230.95263671875,1510.534912109375,1703.340576171875,2210.599609375,2649.776611328125,2627.218017578125,668.335693359375,13.380859375,2386.968505859375,1361.52197265625,3164.107666015625
AnnualCrop,AnnualCrop_1007.tif,1455.3935546875,1304.7978515625,1274.858154296875,1441.84033203125,1570.234130859375,2123.929931640625,2516.618408203125,2383.46630859375,447.396484375,14.15673828125,3060.39697265625,2095.37451171875,2807.48095703125
AnnualCrop,AnnualCrop_1008.tif,1359.253662109375,1239.827880859375,1227.6005859375,1479.285888671875,1609.14599609375,1996.09765625,2321.7119140625,2243.43212890625,494.8544921875,11.56103515625,3163.7080078125,2206.1572265625,2664.482421875
AnnualCrop,AnnualCrop_1009.tif,1481.489013671875,1391.526123046875,1507.216552734375,1870.20849609375,2150.225830078125,2860.4462890625,3384.033447265625,3296.96923828125,860.700439453125,15.13623046875,3169.452880859375,1909.4228515625,3856.590576171875
AnnualCrop,AnnualCrop_101.tif,1331.622314453125,1077.404296875,1057.242431640625,779.681396484375,1230.109375,3142.177978515625,3760.32470703125,3560.3330078125,732.61865234375,11.69189453125,2281.889892578125,1188.897216796875,4053.92236328125
AnnualCrop,AnnualCrop_1010.tif,1468.325439453125,1326.116455078125,1394.58056640625,1606.43359375,1874.447509765625,2587.27734375,3095.9921875,2994.23583984375,778.200927734375,14.534423828125,2818.968017578125,1682.41943359375,3481.285888671875
AnnualCrop,AnnualCrop_1011.tif,1344.396728515625,1155.600341796875,1132.894287109375,1129.851806640625,1356.203125,2121.88818359375,2472.992431640625,2385.812744140625,584.02587890625,14.154296875,2802.87255859375,1835.091064453125,2743.754638671875
