sample_index,batch_index,band_index,band_name,true_label,baseline_pred,baseline_confidence,target_class,baseline_target_confidence,occluded_pred,occluded_confidence,occluded_target_confidence,confidence_drop,prediction_changed,metadata
0,0,0,B4,0,0,0.9860072135925293,0,0.9860072135925293,0,0.9934628009796143,0.9934628009796143,-0.007455587387084961,False,"{'path': 'C:\\Users\\DELL Precision 5550\\Documents\\GitHub\\Terrasight-Eurosat-RGB-vs-Multispectral\\data\\raw\\multispectral\\AnnualCrop\\AnnualCrop_2035.tif', 'class_name': 'AnnualCrop'}"
1,0,0,B4,4,4,0.9992198944091797,4,0.9992198944091797,5,0.44143515825271606,0.22124509513378143,0.7779747843742371,True,"{'path': 'C:\\Users\\DELL Precision 5550\\Documents\\GitHub\\Terrasight-Eurosat-RGB-vs-Multispectral\\data\\raw\\multispectral\\Industrial\\Industrial_926.tif', 'class_name': 'Industrial'}"
2,0,0,B4,0,0,0.9761533737182617,0,0.9761533737182617,0,0.996242880821228,0.996242880821228,-0.02008950710296631,False,"{'path': 'C:\\Users\\DELL Precision 5550\\Documents\\GitHub\\Terrasight-Eurosat-RGB-vs-Multispectral\\data\\raw\\multispectral\\AnnualCrop\\AnnualCrop_705.tif', 'class_name': 'AnnualCrop'}"
3,0,0,B4,1,1,0.9985663294792175,1,0.9985663294792175,1,0.6854198575019836,0.6854198575019836,0.3131464719772339,False,"{'path': 'C:\\Users\\DELL Precision 5550\\Documents\\GitHub\\Terrasight-Eurosat-RGB-vs-Multispectral\\data\\raw\\multispectral\\Forest\\Forest_2954.tif', 'class_name': 'Forest'}"
4,0,0,B4,4,4,0.9999783039093018,4,0.9999783039093018,6,0.7840732932090759,0.1618887186050415,0.8380895853042603,True,"{'path': 'C:\\Users\\DELL Precision 5550\\Documents\\GitHub\\Terrasight-Eurosat-RGB-vs-Multispectral\\data\\raw\\multispectral\\Industrial\\Industrial_70.tif', 'class_name': 'Industrial'}"
5,0,0,B4,6,6,0.9991338849067688,6,0.9991338849067688,6,0.9882717728614807,0.9882717728614807,0.010862112045288086,False,"{'path': 'C:\\Users\\DELL Precision 5550\\Documents\\GitHub\\Terrasight-Eurosat-RGB-vs-Multispectral\\data\\raw\\multispectral\\PermanentCrop\\PermanentCrop_1176.tif', 'class_name': 'PermanentCrop'}"
6,0,0,B4,2,2,0.9991562366485596,2,0.9991562366485596,2,0.9639465808868408,0.9639465808868408,0.03520965576171875,False,"{'path': 'C:\\Users\\DELL Precision 5550\\Documents\\GitHub\\Terrasight-Eurosat-RGB-vs-Multispectral\\data\\raw\\multispectral\\HerbaceousVegetation\\HerbaceousVegetation_2302.tif', 'class_name': 'HerbaceousVegetation'}"
7,0,0,B4,5,5,0.9916951060295105,5,0.9916951060295105,5,0.6894976496696472,0.6894976496696472,0.3021974563598633,False,"{'path': 'C:\\Users\\DELL Precision 5550\\Documents\\GitHub\\Terrasight-Eurosat-RGB-vs-Multispectral\\data\\raw\\multispectral\\Pasture\\Pasture_683.tif', 'class_name': 'Pasture'}"
8,0,0,B4,6,6,0.5950821042060852,6,0.5950821042060852,0,0.9671745896339417,0.011033035814762115,0.5840490460395813,True,"{'path': 'C:\\Users\\DELL Precision 5550\\Documents\\GitHub\\Terrasight-Eurosat-RGB-vs-Multispectral\\data\\raw\\multispectral\\PermanentCrop\\PermanentCrop_580.tif', 'class_name': 'PermanentCrop'}"
9,0,0,B4,5,5,0.9869133830070496,5,0.9869133830070496,0,0.6114686131477356,0.3724396526813507,0.6144737005233765,True,"{'path': 'C:\\Users\\DELL Precision 5550\\Documents\\GitHub\\Terrasight-Eurosat-RGB-vs-Multispectral\\data\\raw\\multispectral\\Pasture\\Pasture_1171.tif', 'class_name': 'Pasture'}"
10,0,0,B4,2,2,0.9999243021011353,2,0.9999243021011353,2,0.9928551316261292,0.9928551316261292,0.0070691704750061035,False,"{'path': 'C:\\Users\\DELL Precision 5550\\Documents\\GitHub\\Terrasight-Eurosat-RGB-vs-Multispectral\\data\\raw\\multispectral\\HerbaceousVegetation\\HerbaceousVegetation_1929.tif', 'class_name': 'HerbaceousVegetation'}"
11,0,0,B4,9,9,0.999992847442627,9,0.999992847442627,9,0.9912465214729309,0.9912465214729309,0.008746325969696045,False,"{'path': 'C:\\Users\\DELL Precision 5550\\Documents\\GitHub\\Terrasight-Eurosat-RGB-vs-Multispectral\\data\\raw\\multispectral\\SeaLake\\SeaLake_1146.tif', 'class_name': 'SeaLake'}"
12,0,0,B4,3,3,0.9989331364631653,3,0.9989331364631653,3,0.9196187853813171,0.9196187853813171,0.07931435108184814,False,"{'path': 'C:\\Users\\DELL Precision 5550\\Documents\\GitHub\\Terrasight-Eurosat-RGB-vs-Multispectral\\data\\raw\\multispectral\\Highway\\Highway_1805.tif', 'class_name': 'Highway'}"
13,0,0,B4,1,1,0.9992604851722717,1,0.9992604851722717,1,0.7931473851203918,0.7931473851203918,0.20611310005187988,False,"{'path': 'C:\\Users\\DELL Precision 5550\\Documents\\GitHub\\Terrasight-Eurosat-RGB-vs-Multispectral\\data\\raw\\multispectral\\Forest\\Forest_947.tif', 'class_name': 'Forest'}"
14,0,0,B4,3,3,0.9628456830978394,3,0.9628456830978394,0,0.7825318574905396,0.20856322348117828,0.7542824745178223,True,"{'path': 'C:\\Users\\DELL Precision 5550\\Documents\\GitHub\\Terrasight-Eurosat-RGB-vs-Multispectral\\data\\raw\\multispectral\\Highway\\Highway_2329.tif', 'class_name': 'Highway'}"
15,0,0,B4,9,9,0.99989914894104,9,0.99989914894104,9,0.9994263648986816,0.9994263648986816,0.00047278404235839844,False,"{'path': 'C:\\Users\\DELL Precision 5550\\Documents\\GitHub\\Terrasight-Eurosat-RGB-vs-Multispectral\\data\\raw\\multispectral\\SeaLake\\SeaLake_2057.tif', 'class_name': 'SeaLake'}"
16,0,0,B4,0,0,0.8173800706863403,0,0.8173800706863403,0,0.7047361135482788,0.7047361135482788,0.11264395713806152,False,"{'path': 'C:\\Users\\DELL Precision 5550\\Documents\\GitHub\\Terrasight-Eurosat-RGB-vs-Multispectral\\data\\raw\\multispectral\\AnnualCrop\\AnnualCrop_1674.tif', 'class_name': 'AnnualCrop'}"
17,0,0,B4,9,9,0.9999639987945557,9,0.9999639987945557,9,0.9997133612632751,0.9997133612632751,0.0002506375312805176,False,"{'path': 'C:\\Users\\DELL Precision 5550\\Documents\\GitHub\\Terrasight-Eurosat-RGB-vs-Multispectral\\data\\raw\\multispectral\\SeaLake\\SeaLake_1387.tif', 'class_name': 'SeaLake'}"
18,0,0,B4,1,1,0.9972004890441895,1,0.9972004890441895,1,0.8395369648933411,0.8395369648933411,0.1576635241508484,False,"{'path': 'C:\\Users\\DELL Precision 5550\\Documents\\GitHub\\Terrasight-Eurosat-RGB-vs-Multispectral\\data\\raw\\multispectral\\Forest\\Forest_1109.tif', 'class_name': 'Forest'}"
19,0,0,B4,0,0,0.8029090762138367,0,0.8029090762138367,0,0.9915809035301208,0.9915809035301208,-0.18867182731628418,False,"{'path': 'C:\\Users\\DELL Precision 5550\\Documents\\GitHub\\Terrasight-Eurosat-RGB-vs-Multispectral\\data\\raw\\multispectral\\AnnualCrop\\AnnualCrop_799.tif', 'class_name': 'AnnualCrop'}"
20,0,0,B4,0,0,0.9752010107040405,0,0.9752010107040405,0,0.9947065711021423,0.9947065711021423,-0.019505560398101807,False,"{'path': 'C:\\Users\\DELL Precision 5550\\Documents\\GitHub\\Terrasight-Eurosat-RGB-vs-Multispectral\\data\\raw\\multispectral\\AnnualCrop\\AnnualCrop_2030.tif', 'class_name': 'AnnualCrop'}"
21,0,0,B4,9,9,0.9999067783355713,9,0.9999067783355713,9,0.9960487484931946,0.9960487484931946,0.003858029842376709,False,"{'path': 'C:\\Users\\DELL Precision 5550\\Documents\\GitHub\\Terrasight-Eurosat-RGB-vs-Multispectral\\data\\raw\\multispectral\\SeaLake\\SeaLake_2697.tif', 'class_name': 'SeaLake'}"
