rank,band_index,band_name,mean_confidence_drop,median_confidence_drop,std_confidence_drop,prediction_change_rate,n_samples
1,1,B3,0.5194152379643034,0.6230569779872894,0.44053249455281224,0.5481481481481482,5400
2,2,B2,0.28298237823225836,0.05410686135292053,0.37315247742230123,0.29203703703703704,5400
3,0,B4,0.21020958861543074,0.03445076942443848,0.321778304834275,0.21,5400
4,8,B11,0.026937570122105105,0.0001335740089416504,0.12314558917772031,0.03740740740740741,5400
5,6,B8,0.018860441415950103,0.0001825392246246338,0.09375049211617634,0.02722222222222222,5400
6,3,B5,0.011888591724413413,1.800060272216797e-05,0.0793415846576235,0.024259259259259258,5400
7,9,B12,0.008110915629400148,1.9669532775878906e-06,0.06653244103450108,0.01925925925925926,5400
8,5,B7,0.0052187151599813394,2.3245811462402344e-06,0.05080574335736466,0.016296296296296295,5400
9,7,B8A,0.0023714943947615447,1.9073486328125e-06,0.034680070395502305,0.010185185185185186,5400
10,4,B6,0.002199565828950317,-1.1920928955078125e-07,0.04076320832925856,0.011851851851851851,5400
