class_name,true_label,class_rank,band_index,band_name,mean_confidence_drop,median_confidence_drop,std_confidence_drop,positive_support_rate,prediction_change_rate,n_samples
AnnualCrop,0,1,1,B3,0.24102116291721662,0.036695480346679646,0.3438482684241078,0.765,0.26666666666666666,600
AnnualCrop,0,2,2,B2,0.15259285554289817,0.00490438938140865,0.2972954329632371,0.705,0.16833333333333333,600
AnnualCrop,0,3,8,B11,0.01089863916238148,0.00061833858489985,0.10862644910690983,0.6,0.03,600
AnnualCrop,0,4,0,B4,0.004490804125865333,-0.00326073169708245,0.17188294726995595,0.17166666666666666,0.051666666666666666,600
AnnualCrop,0,5,4,B6,0.0030761655668417633,-3.5762786865234375e-07,0.035839536409010574,0.49666666666666665,0.015,600
AnnualCrop,0,6,3,B5,-0.0016461113095283468,-5.1081180572509766e-05,0.06202942134988569,0.4683333333333333,0.015,600
AnnualCrop,0,7,5,B7,-0.0019868582487106144,-0.00039419531822200004,0.049206786192596136,0.285,0.015,600
AnnualCrop,0,8,7,B8A,-0.0021463943024476223,-0.00028052926063535,0.036733595953627435,0.35333333333333333,0.01,600
AnnualCrop,0,9,9,B12,-0.0022364477813243675,-0.00041729211807245,0.05487765373289644,0.2916666666666667,0.016666666666666666,600
AnnualCrop,0,10,6,B8,-0.0033542274932066326,-0.00110471248626705,0.08661851673958092,0.21166666666666667,0.02666666666666667,600
Forest,1,1,0,B4,0.2974355295300483,0.15882772207260132,0.32800358012047914,0.9283333333333333,0.29,600
Forest,1,2,1,B3,0.21244138821959493,0.07164049148559565,0.2950466643227346,0.9183333333333333,0.20166666666666666,600
Forest,1,3,2,B2,0.14699326530098913,0.030769258737564,0.24753837468697118,0.9216666666666666,0.13333333333333333,600
Forest,1,4,6,B8,0.04902437329292294,0.0062591731548309,0.12207212042349225,0.9066666666666666,0.04666666666666667,600
Forest,1,5,8,B11,0.015700678850213687,-4.172325134277344e-07,0.09322257407243657,0.49666666666666665,0.025,600
Forest,1,6,3,B5,0.006409551029404012,-1.4543533325195312e-05,0.06561587159961842,0.475,0.02,600
Forest,1,7,9,B12,0.0033387945592403523,-0.0002025961875915,0.05806092564762903,0.36666666666666664,0.021666666666666667,600
Forest,1,8,5,B7,9.866232673329016e-05,-0.00044545531272884996,0.04551157625622389,0.27166666666666667,0.018333333333333333,600
Forest,1,9,7,B8A,-5.337315301100147e-05,4.76837158203125e-07,0.027801146354849995,0.5033333333333333,0.008333333333333333,600
Forest,1,10,4,B6,-0.0026772851000229506,2.7418136596679688e-06,0.03634407130179912,0.5133333333333333,0.006666666666666667,600
HerbaceousVegetation,2,1,1,B3,0.8898149567345778,0.9696049392223358,0.18237190361190286,0.995,0.95,600
HerbaceousVegetation,2,2,0,B4,0.1776047725478808,0.0711588859558105,0.25850474735742984,0.8966666666666666,0.14833333333333334,600
HerbaceousVegetation,2,3,2,B2,0.1352961419522762,0.0154771208763122,0.26858265479344273,0.7683333333333333,0.13833333333333334,600
HerbaceousVegetation,2,4,8,B11,0.058930656810601514,0.008461266756057701,0.15528347887079705,0.845,0.04666666666666667,600
HerbaceousVegetation,2,5,3,B5,0.041046580250064496,0.008356690406799299,0.10821122616114227,0.9116666666666666,0.03666666666666667,600
HerbaceousVegetation,2,6,6,B8,0.023331613242626167,0.00249254703521725,0.09778821552972358,0.765,0.03,600
HerbaceousVegetation,2,7,9,B12,0.015261331051588035,0.0018709599971771,0.0725354164623409,0.7716666666666666,0.02,600
HerbaceousVegetation,2,8,5,B7,0.01362554361422854,0.001568853855133,0.06136648165786562,0.795,0.015,600
HerbaceousVegetation,2,9,7,B8A,0.0038553528984387603,0.00029549002647395,0.039388295887243394,0.63,0.008333333333333333,600
HerbaceousVegetation,2,10,4,B6,0.0017676427463690374,0.0001725554466247,0.05296221233139842,0.5933333333333334,0.015,600
Highway,3,1,1,B3,0.6001487134099006,0.7349357306957245,0.3565129922910177,0.986,0.618,500
Highway,3,2,2,B2,0.29585744661092755,0.1310275793075561,0.35006892497282455,0.888,0.312,500
Highway,3,3,0,B4,0.13644183352589603,0.02788946032524105,0.2512772525919156,0.888,0.13,500
Highway,3,4,9,B12,0.03065397378802297,0.0017548501491546,0.10203198695449564,0.772,0.038,500
Highway,3,5,6,B8,0.026649888426065423,0.0019534528255462,0.09587702657328942,0.744,0.034,500
Highway,3,6,8,B11,0.019934538155794133,0.00060766935348505,0.11816722625434457,0.608,0.034,500
Highway,3,7,5,B7,0.014340003550052624,0.0006386041641235,0.06108082854607287,0.714,0.026,500
Highway,3,8,7,B8A,0.006040821343660343,0.0002292692661285,0.04623656792221429,0.65,0.014,500
Highway,3,9,3,B5,0.0017457875609397967,-0.000344306230545,0.06676279790277263,0.418,0.028,500
Highway,3,10,4,B6,0.00028981804847718246,-0.0001587569713592,0.045637801407267996,0.386,0.018,500
Industrial,4,1,1,B3,0.9554715241789817,0.9961450099945068,0.12435017852467391,0.998,0.99,500
Industrial,4,2,2,B2,0.6860134952664375,0.8316213488578796,0.3271850378184534,0.992,0.682,500
Industrial,4,3,0,B4,0.6417722546458244,0.7607298493385315,0.345658118829017,0.984,0.646,500
Industrial,4,4,3,B5,0.021931028902530646,0.0003522932529449,0.0972649630599377,0.82,0.034,500
Industrial,4,5,6,B8,0.01774436450004576,0.00014173984527585,0.09265691529890298,0.742,0.014,500
Industrial,4,6,9,B12,0.012210691452026348,8.305907249450684e-05,0.06480399363626582,0.722,0.02,500
Industrial,4,7,5,B7,0.008357490420341474,0.00012004375457759999,0.04878170789265872,0.79,0.016,500
Industrial,4,8,8,B11,0.005618529826402669,-3.159046173095703e-06,0.07862976848860403,0.43,0.024,500
Industrial,4,9,4,B6,0.0023229812383651644,1.949071884155273e-05,0.04498815032611258,0.67,0.01,500
Industrial,4,10,7,B8A,0.0005373761653900158,-4.76837158203125e-07,0.029453028937849367,0.456,0.004,500
Pasture,5,1,1,B3,0.3941177023947239,0.3819027245044708,0.34103500478299653,0.95,0.45,400
Pasture,5,2,2,B2,0.13969933353364467,0.01503500342369075,0.26908899361347216,0.835,0.1725,400
Pasture,5,3,0,B4,0.12799701720476148,0.01715499162673945,0.2536037358853182,0.8525,0.1475,400
Pasture,5,4,6,B8,0.0420341997593641,0.00204807519912715,0.12034531251539345,0.81,0.06,400
Pasture,5,5,8,B11,0.01823039196431636,0.0001032650470733457,0.1113951327476674,0.58,0.0525,400
Pasture,5,6,9,B12,0.012080883085727676,0.00036141276359555,0.061025969916392114,0.7,0.0225,400
Pasture,5,7,7,B8A,0.007298860698938353,0.00020197033882134998,0.03949089006698736,0.715,0.015,400
Pasture,5,8,5,B7,0.004068632051348684,3.546476364135742e-05,0.0522704918054758,0.5525,0.03,400
Pasture,5,9,3,B5,0.003140549138188378,-0.0001518130302429,0.08710619251872728,0.365,0.03,400
Pasture,5,10,4,B6,0.00294610992074012,3.8295984268188477e-05,0.03731342125729042,0.57,0.015,400
PermanentCrop,6,1,1,B3,0.8994354121685028,0.9802600145339966,0.17861507377931846,0.992,0.982,500
PermanentCrop,6,2,2,B2,0.7304207711815834,0.869186520576477,0.3126477199346097,0.964,0.804,500
PermanentCrop,6,3,0,B4,0.2548280772566795,0.1369378268718719,0.3016696892361262,0.906,0.268,500
PermanentCrop,6,4,8,B11,0.051000587880611396,0.0030235946178436,0.14304361708649724,0.774,0.078,500
PermanentCrop,6,5,3,B5,0.02804257929325102,0.0006778836250304499,0.10208274605038539,0.738,0.054,500
PermanentCrop,6,6,4,B6,0.015807414442300792,0.000140368938446,0.0628562922805365,0.582,0.032,500
PermanentCrop,6,7,7,B8A,0.009588221192359907,0.0004400610923767,0.0457575350151767,0.73,0.03,500
PermanentCrop,6,8,5,B7,0.0035501528382301415,-4.2319297790527344e-05,0.058861603584347694,0.43,0.032,500
PermanentCrop,6,9,6,B8,0.0020208148956299002,-0.00034159421920770003,0.09114867973010964,0.334,0.038,500
PermanentCrop,6,10,9,B12,-0.0013345041871070653,-0.00045779347419734997,0.07657799797340453,0.264,0.032,500
Residential,7,1,1,B3,0.9638267753521601,0.9949173629283905,0.09304627899132809,1.0,0.9866666666666667,600
Residential,7,2,2,B2,0.517068094710509,0.5731729567050934,0.36646605878648075,0.9933333333333333,0.5,600
Residential,7,3,0,B4,0.3024405387043953,0.13001236319541926,0.3465518228958231,0.965,0.2816666666666667,600
Residential,7,4,6,B8,0.010508444458246221,1.0073184967041016e-05,0.06816251238011703,0.7016666666666667,0.008333333333333333,600
Residential,7,5,7,B8A,-0.0012002767125765417,-8.940696716308594e-07,0.03147435478283556,0.25333333333333335,0.006666666666666667,600
Residential,7,6,4,B6,-0.0014550870160261698,-2.026557922363281e-06,0.02751371223152497,0.17666666666666667,0.005,600
Residential,7,7,3,B5,-0.0024850746492544634,-1.990795135498047e-05,0.06103552731127411,0.035,0.01,600
Residential,7,8,8,B11,-0.002621672550837196,-2.384185791015625e-07,0.04156818239342296,0.34,0.0033333333333333335,600
Residential,7,9,5,B7,-0.0031707011659939965,-4.589557647705078e-06,0.034528069780932334,0.12666666666666668,0.0033333333333333335,600
Residential,7,10,9,B12,-0.004255281587441748,-1.138448715209961e-05,0.041467410662022364,0.07,0.005,600
River,8,1,8,B11,0.0952447321414947,0.00674107670783995,0.20866706637606786,0.976,0.088,500
River,8,2,1,B3,0.0752369866967201,0.00043258070945734997,0.20327333782913748,0.646,0.076,500
River,8,3,0,B4,0.06946642428636549,0.00431418418884275,0.1767007916163716,0.898,0.058,500
