class_name,true_label,class_rank,band_index,band_name,mean_confidence_drop,median_confidence_drop,std_confidence_drop,positive_support_rate,prediction_change_rate,n_samples
AnnualCrop,0,1,1,B3,0.24102116291721662,0.036695480346679646,0.3438482684241078,0.765,0.26666666666666666,600
AnnualCrop,0,2,2,B2,0.15259285554289817,0.00490438938140865,0.2972954329632371,0.705,0.16833333333333333,600
AnnualCrop,0,3,8,B11,0.01089863916238148,0.00061833858489985,0.10862644910690983,0.6,0.03,600
Forest,1,1,0,B4,0.2974355295300483,0.15882772207260132,0.32800358012047914,0.9283333333333333,0.29,600
Forest,1,2,1,B3,0.21244138821959493,0.07164049148559565,0.2950466643227346,0.9183333333333333,0.20166666666666666,600
Forest,1,3,2,B2,0.14699326530098913,0.030769258737564,0.24753837468697118,0.9216666666666666,0.13333333333333333,600
HerbaceousVegetation,2,1,1,B3,0.8898149567345778,0.9696049392223358,0.18237190361190286,0.995,0.95,600
HerbaceousVegetation,2,2,0,B4,0.1776047725478808,0.0711588859558105,0.25850474735742984,0.8966666666666666,0.14833333333333334,600
HerbaceousVegetation,2,3,2,B2,0.1352961419522762,0.0154771208763122,0.26858265479344273,0.7683333333333333,0.13833333333333334,600
Highway,3,1,1,B3,0.6001487134099006,0.7349357306957245,0.3565129922910177,0.986,0.618,500
Highway,3,2,2,B2,0.29585744661092755,0.1310275793075561,0.35006892497282455,0.888,0.312,500
Highway,3,3,0,B4,0.13644183352589603,0.02788946032524105,0.2512772525919156,0.888,0.13,500
Industrial,4,1,1,B3,0.9554715241789817,0.9961450099945068,0.12435017852467391,0.998,0.99,500
Industrial,4,2,2,B2,0.6860134952664375,0.8316213488578796,0.3271850378184534,0.992,0.682,500
Industrial,4,3,0,B4,0.6417722546458244,0.7607298493385315,0.345658118829017,0.984,0.646,500
Pasture,5,1,1,B3,0.3941177023947239,0.3819027245044708,0.34103500478299653,0.95,0.45,400
Pasture,5,2,2,B2,0.13969933353364467,0.01503500342369075,0.26908899361347216,0.835,0.1725,400
Pasture,5,3,0,B4,0.12799701720476148,0.01715499162673945,0.2536037358853182,0.8525,0.1475,400
PermanentCrop,6,1,1,B3,0.8994354121685028,0.9802600145339966,0.17861507377931846,0.992,0.982,500
PermanentCrop,6,2,2,B2,0.7304207711815834,0.869186520576477,0.3126477199346097,0.964,0.804,500
PermanentCrop,6,3,0,B4,0.2548280772566795,0.1369378268718719,0.3016696892361262,0.906,0.268,500
Residential,7,1,1,B3,0.9638267753521601,0.9949173629283905,0.09304627899132809,1.0,0.9866666666666667,600
Residential,7,2,2,B2,0.517068094710509,0.5731729567050934,0.36646605878648075,0.9933333333333333,0.5,600
Residential,7,3,0,B4,0.3024405387043953,0.13001236319541926,0.3465518228958231,0.965,0.2816666666666667,600
River,8,1,8,B11,0.0952447321414947,0.00674107670783995,0.20866706637606786,0.976,0.088,500
River,8,2,1,B3,0.0752369866967201,0.00043258070945734997,0.20327333782913748,0.646,0.076,500
River,8,3,0,B4,0.06946642428636549,0.00431418418884275,0.1767007916163716,0.898,0.058,500
SeaLake,9,1,0,B4,0.10582614973187444,0.00125053524971,0.24326421389879527,0.9233333333333333,0.10166666666666667,600
SeaLake,9,2,2,B2,0.05212667460242904,0.0007942616939543999,0.1679729450829121,0.91,0.04666666666666667,600
SeaLake,9,3,3,B5,0.005289948036273312,0.0,0.034136811227110944,0.4716666666666667,0.0033333333333333335,600
