model,class,precision,recall,f1,support
RGB,AnnualCrop,0.9118589743589743,0.9483333333333334,0.9297385620915033,600.0
RGB,Forest,0.9965576592082617,0.965,0.9805249788314987,600.0
RGB,HerbaceousVegetation,0.9209225700164745,0.9316666666666666,0.9262634631317316,600.0
RGB,Highway,0.9507874015748031,0.966,0.9583333333333334,500.0
RGB,Industrial,0.9695121951219512,0.954,0.9616935483870968,500.0
RGB,Pasture,0.9282178217821783,0.9375,0.9328358208955224,400.0
RGB,PermanentCrop,0.8893360160965795,0.884,0.8866599799398195,500.0
RGB,Residential,0.9691056910569106,0.9933333333333333,0.9810699588477366,600.0
RGB,River,0.9680170575692963,0.908,0.9370485036119711,500.0
RGB,SeaLake,0.9834162520729685,0.9883333333333333,0.9858686616791354,600.0
RGB+NIR,AnnualCrop,0.9230769230769231,0.96,0.9411764705882353,600.0
RGB+NIR,Forest,0.975328947368421,0.9883333333333333,0.9817880794701986,600.0
RGB+NIR,HerbaceousVegetation,0.909967845659164,0.9433333333333334,0.9263502454991817,600.0
RGB+NIR,Highway,0.941747572815534,0.97,0.9556650246305419,500.0
RGB+NIR,Industrial,0.9693251533742331,0.948,0.9585439838220424,500.0
RGB+NIR,Pasture,0.9232613908872902,0.9625,0.9424724602203183,400.0
RGB+NIR,PermanentCrop,0.9398663697104677,0.844,0.8893572181243414,500.0
RGB+NIR,Residential,0.9801980198019802,0.99,0.9850746268656716,600.0
RGB+NIR,River,0.9978494623655914,0.928,0.9616580310880829,500.0
RGB+NIR,SeaLake,0.9851239669421488,0.9933333333333333,0.9892116182572614,600.0
RGB+RedEdge+NIR,AnnualCrop,0.9431438127090301,0.94,0.9415692821368948,600.0
RGB+RedEdge+NIR,Forest,0.9733777038269551,0.975,0.974188176519567,600.0
RGB+RedEdge+NIR,HerbaceousVegetation,0.9367521367521368,0.9133333333333333,0.9248945147679325,600.0
RGB+RedEdge+NIR,Highway,0.9526627218934911,0.966,0.9592850049652433,500.0
RGB+RedEdge+NIR,Industrial,0.967280163599182,0.946,0.9565217391304348,500.0
RGB+RedEdge+NIR,Pasture,0.9444444444444444,0.935,0.9396984924623115,400.0
RGB+RedEdge+NIR,PermanentCrop,0.8862745098039215,0.904,0.8950495049504951,500.0
RGB+RedEdge+NIR,Residential,0.9736408566721582,0.985,0.9792874896437448,600.0
RGB+RedEdge+NIR,River,0.9817444219066938,0.968,0.9748237663645518,500.0
RGB+RedEdge+NIR,SeaLake,0.9723127035830619,0.995,0.9835255354200988,600.0
RGB+RedEdge+NIR+SWIR,AnnualCrop,0.9376026272577996,0.9516666666666667,0.9445822994210091,600.0
RGB+RedEdge+NIR+SWIR,Forest,0.988013698630137,0.9616666666666667,0.9746621621621622,600.0
RGB+RedEdge+NIR+SWIR,HerbaceousVegetation,0.9111111111111111,0.9566666666666667,0.9333333333333333,600.0
RGB+RedEdge+NIR+SWIR,Highway,0.9672131147540983,0.944,0.9554655870445344,500.0
RGB+RedEdge+NIR+SWIR,Industrial,0.9544554455445544,0.964,0.9592039800995025,500.0
RGB+RedEdge+NIR+SWIR,Pasture,0.9783783783783784,0.905,0.9402597402597402,400.0
RGB+RedEdge+NIR+SWIR,PermanentCrop,0.8956692913385826,0.91,0.9027777777777778,500.0
RGB+RedEdge+NIR+SWIR,Residential,0.9785123966942149,0.9866666666666667,0.9825726141078838,600.0
RGB+RedEdge+NIR+SWIR,River,0.9719438877755511,0.97,0.970970970970971,500.0
RGB+RedEdge+NIR+SWIR,SeaLake,0.9900332225913622,0.9933333333333333,0.9916805324459235,600.0
PhysicalBands,AnnualCrop,0.9490968801313628,0.9633333333333334,0.9561621174524401,600.0
PhysicalBands,Forest,0.9799666110183639,0.9783333333333334,0.9791492910758965,600.0
PhysicalBands,HerbaceousVegetation,0.9382303839732888,0.9366666666666666,0.9374478732276897,600.0
PhysicalBands,Highway,0.9516129032258065,0.944,0.9477911646586346,500.0
PhysicalBands,Industrial,0.9608247422680413,0.932,0.9461928934010152,500.0
PhysicalBands,Pasture,0.951530612244898,0.9325,0.9419191919191919,400.0
PhysicalBands,PermanentCrop,0.9195876288659793,0.892,0.9055837563451776,500.0
PhysicalBands,Residential,0.924031007751938,0.9933333333333333,0.957429718875502,600.0
PhysicalBands,River,0.9916142557651991,0.946,0.9682702149437052,500.0
PhysicalBands,SeaLake,0.9771615008156607,0.9983333333333333,0.9876339653751031,600.0
Full13NoB10,AnnualCrop,0.9038759689922481,0.9716666666666667,0.9365461847389558,600.0
Full13NoB10,Forest,0.9899497487437185,0.985,0.9874686716791979,600.0
