class,Full13,Full13NoB10,PhysicalBands,RGB,RGB+NIR,RGB+RedEdge+NIR,RGB+RedEdge+NIR+SWIR,nir_gain_vs_rgb,rededge_gain_vs_rgb_nir,swir_gain_vs_rgb_rededge_nir,full13_gain_vs_best_selective,full13_degradation_vs_best_selective
AnnualCrop,0.943986820428336,0.9365461847389558,0.9561621174524401,0.9297385620915033,0.9411764705882353,0.9415692821368948,0.9445822994210091,0.011437908496731986,0.00039281154865955514,0.0030130172841142944,-0.000595478992673093,0.000595478992673093
Forest,0.9772535804549284,0.9874686716791979,0.9791492910758965,0.9805249788314987,0.9817880794701986,0.974188176519567,0.9746621621621622,0.0012631006386999433,-0.007599902950631621,0.00047398564259515386,0.002591418292766212,-0.002591418292766212
HerbaceousVegetation,0.9098497495826378,0.9187396351575456,0.9374478732276897,0.9262634631317316,0.9263502454991817,0.9248945147679325,0.9333333333333333,8.678236745007784e-05,-0.0014557307312491607,0.008438818565400852,-0.02348358375069559,0.02348358375069559
Highway,0.9641025641025641,0.9399014778325123,0.9477911646586346,0.9583333333333334,0.9556650246305419,0.9592850049652433,0.9554655870445344,-0.0026683087027914443,0.003619980334701345,-0.003819417920708834,0.008636977058029682,-0.008636977058029682
Industrial,0.9439347604485219,0.9632571996027806,0.9461928934010152,0.9616935483870968,0.9585439838220424,0.9565217391304348,0.9592039800995025,-0.0031495645650543302,-0.002022244691607611,0.002682240969067662,-0.015269219650980603,0.015269219650980603
Pasture,0.9234449760765551,0.9348370927318296,0.9419191919191919,0.9328358208955224,0.9424724602203183,0.9396984924623115,0.9402597402597402,0.00963663932479586,-0.0027739677580067568,0.0005612477974287211,-0.01681476418318517,0.01681476418318517
PermanentCrop,0.8497512437810946,0.8710359408033826,0.9055837563451776,0.8866599799398195,0.8893572181243414,0.8950495049504951,0.9027777777777778,0.002697238184521944,0.005692286826153636,0.007728272827282723,-0.05302653399668322,0.05302653399668322
Residential,0.9782971619365609,0.9790444258172674,0.957429718875502,0.9810699588477366,0.9850746268656716,0.9792874896437448,0.9825726141078838,0.004004668017934976,-0.005787137221926808,0.0032851244641389776,-0.004275452171322858,0.004275452171322858
River,0.9721115537848606,0.966,0.9682702149437052,0.9370485036119711,0.9616580310880829,0.9748237663645518,0.970970970970971,0.02460952747611178,0.013165735276468915,-0.0038527953935808545,0.0011405828138896235,-0.0011405828138896235
SeaLake,0.9800332778702163,0.9823973176865046,0.9876339653751031,0.9858686616791354,0.9892116182572614,0.9835255354200988,0.9916805324459235,0.0033429565781259996,-0.005686082837162654,0.008154997025824673,-0.011647254575707144,0.011647254575707144
