true_class,predicted_class,Full13,Full13NoB10,PhysicalBands,RGB,RGB+NIR,RGB+RedEdge+NIR,RGB+RedEdge+NIR+SWIR,resolved_by_best_ms,full13_degradation
River,AnnualCrop,5,2,6,21,9,6,4,17,1
HerbaceousVegetation,PermanentCrop,38,23,15,23,7,21,14,9,24
River,Pasture,3,2,2,8,6,2,1,7,2
River,Highway,1,8,14,14,19,5,7,7,-6
Forest,Pasture,9,5,3,7,2,2,2,5,7
PermanentCrop,AnnualCrop,27,35,17,15,31,14,11,4,16
PermanentCrop,Pasture,16,5,0,4,6,6,0,4,16
HerbaceousVegetation,Pasture,9,8,8,5,8,9,1,4,8
Industrial,Residential,10,4,22,10,10,12,7,3,3
SeaLake,AnnualCrop,2,1,0,4,2,1,1,3,1
AnnualCrop,River,1,6,0,4,0,1,1,3,0
Pasture,PermanentCrop,1,0,4,6,0,1,3,3,-2
HerbaceousVegetation,SeaLake,4,0,3,2,2,2,0,2,4
AnnualCrop,SeaLake,3,1,1,3,5,7,1,2,2
Industrial,River,1,0,1,2,1,0,0,2,1
HerbaceousVegetation,AnnualCrop,0,1,0,2,0,2,0,2,0
River,PermanentCrop,0,0,0,2,0,0,0,2,0
Forest,SeaLake,0,0,1,3,0,0,1,2,-1
Industrial,Highway,3,8,4,6,4,5,4,2,-1
PermanentCrop,Residential,0,3,4,4,2,1,2,2,-2
Highway,River,10,8,2,4,0,5,3,1,7
Highway,Pasture,6,4,1,2,4,0,1,1,5
SeaLake,River,4,3,1,2,0,0,1,1,3
Forest,Residential,2,0,4,2,0,1,1,1,1
Forest,AnnualCrop,0,0,0,1,0,0,0,1,0
HerbaceousVegetation,Industrial,0,2,0,1,2,0,0,1,0
HerbaceousVegetation,River,0,0,0,1,0,3,0,1,0
Industrial,AnnualCrop,0,0,0,1,0,0,0,1,0
Pasture,SeaLake,1,1,5,2,1,6,1,1,0
PermanentCrop,River,0,0,0,1,0,0,0,1,0
PermanentCrop,HerbaceousVegetation,20,25,21,23,36,15,22,1,-2
PermanentCrop,Highway,0,8,3,3,2,6,2,1,-2
Residential,HerbaceousVegetation,6,2,0,1,0,0,1,0,5
SeaLake,HerbaceousVegetation,4,10,0,1,2,1,1,0,3
AnnualCrop,Pasture,5,1,5,3,6,3,3,0,2
Industrial,Pasture,2,0,0,0,0,0,0,0,2
PermanentCrop,Forest,2,0,1,0,0,3,0,0,2
PermanentCrop,SeaLake,2,0,1,0,0,0,0,0,2
AnnualCrop,Industrial,1,0,0,0,1,0,0,0,1
Highway,HerbaceousVegetation,3,3,1,2,1,1,2,0,1
Residential,Forest,1,0,0,0,1,1,0,0,1
River,HerbaceousVegetation,2,2,2,1,1,1,1,0,1
AnnualCrop,Forest,0,0,0,0,1,0,0,0,0
AnnualCrop,Highway,0,1,2,0,1,2,0,0,0
Forest,Highway,0,0,0,0,1,0,0,0,0
Highway,Residential,0,0,15,0,0,0,0,0,0
Industrial,HerbaceousVegetation,1,0,0,1,3,1,1,0,0
Pasture,Highway,0,2,0,0,0,1,0,0,0
Residential,Highway,0,7,0,0,0,0,0,0,0
Residential,SeaLake,0,1,0,0,0,0,0,0,0
SeaLake,Residential,0,0,0,0,0,1,0,0,0
PermanentCrop,Industrial,6,12,7,8,1,3,8,0,-2
HerbaceousVegetation,Residential,0,2,4,3,0,1,3,0,-3
Forest,HerbaceousVegetation,9,3,5,7,3,11,8,-1,1
Industrial,SeaLake,2,1,1,0,0,0,1,-1,1
Residential,PermanentCrop,1,2,0,0,1,3,1,-1,0
River,SeaLake,1,3,2,0,1,2,1,-1,0
SeaLake,Forest,1,0,0,0,0,0,1,-1,0
Forest,Industrial,0,0,0,0,0,0,1,-1,-1
Forest,PermanentCrop,0,1,0,0,1,1,1,-1,-1
Highway,SeaLake,0,0,0,0,0,0,1,-1,-1
Pasture,Forest,0,0,4,0,1,3,1,-1,-1
River,Industrial,0,0,1,0,0,0,1,-1,-1
HerbaceousVegetation,Highway,1,4,1,2,3,5,3,-1,-2
Highway,AnnualCrop,1,4,0,4,1,2,5,-1,-4
AnnualCrop,PermanentCrop,15,6,12,19,8,22,20,-1,-5
Industrial,PermanentCrop,18,2,6,3,8,9,5,-2,13
AnnualCrop,HerbaceousVegetation,2,2,2,2,2,1,4,-2,-2
Residential,Industrial,6,4,4,3,4,5,6,-3,0
HerbaceousVegetation,Forest,3,6,7,2,12,9,5,-3,-2
Highway,Industrial,5,4,7,3,7,8,7,-4,-2
Pasture,HerbaceousVegetation,6,5,6,10,8,6,16,-6,-10
Highway,PermanentCrop,5,0,2,2,2,1,9,-7,-4
Forest,River,0,0,0,1,0,0,9,-8,-9
Pasture,AnnualCrop,6,19,8,7,5,9,17,-10,-11
