sample_index,path,true_label,true_class,predicted_label,predicted_class,confidence,correct,dim1,dim2
0,C:\Users\DELL Precision 5550\Documents\GitHub\Terrasight-Eurosat-RGB-vs-Multispectral\data\raw\rgb\AnnualCrop\AnnualCrop_2035.jpg,0,AnnualCrop,0,AnnualCrop,0.9994254112243652,True,37.44122,1.3226018
1,C:\Users\DELL Precision 5550\Documents\GitHub\Terrasight-Eurosat-RGB-vs-Multispectral\data\raw\rgb\Industrial\Industrial_926.jpg,4,Industrial,4,Industrial,0.998448371887207,True,-0.014687432,-60.64057
2,C:\Users\DELL Precision 5550\Documents\GitHub\Terrasight-Eurosat-RGB-vs-Multispectral\data\raw\rgb\AnnualCrop\AnnualCrop_705.jpg,0,AnnualCrop,0,AnnualCrop,0.9983653426170349,True,34.7605,1.5753326
3,C:\Users\DELL Precision 5550\Documents\GitHub\Terrasight-Eurosat-RGB-vs-Multispectral\data\raw\rgb\Forest\Forest_2954.jpg,1,Forest,1,Forest,0.9999885559082031,True,-51.89758,13.796355
4,C:\Users\DELL Precision 5550\Documents\GitHub\Terrasight-Eurosat-RGB-vs-Multispectral\data\raw\rgb\Industrial\Industrial_70.jpg,4,Industrial,4,Industrial,0.9999568462371826,True,5.1691966,-56.42682
5,C:\Users\DELL Precision 5550\Documents\GitHub\Terrasight-Eurosat-RGB-vs-Multispectral\data\raw\rgb\PermanentCrop\PermanentCrop_1176.jpg,6,PermanentCrop,6,PermanentCrop,0.9999992847442627,True,9.186747,-24.501318
6,C:\Users\DELL Precision 5550\Documents\GitHub\Terrasight-Eurosat-RGB-vs-Multispectral\data\raw\rgb\HerbaceousVegetation\HerbaceousVegetation_2302.jpg,2,HerbaceousVegetation,2,HerbaceousVegetation,0.9998749494552612,True,-13.157779,-10.27667
7,C:\Users\DELL Precision 5550\Documents\GitHub\Terrasight-Eurosat-RGB-vs-Multispectral\data\raw\rgb\Pasture\Pasture_683.jpg,5,Pasture,5,Pasture,0.9947314262390137,True,-1.0546441,14.460352
8,C:\Users\DELL Precision 5550\Documents\GitHub\Terrasight-Eurosat-RGB-vs-Multispectral\data\raw\rgb\PermanentCrop\PermanentCrop_580.jpg,6,PermanentCrop,5,Pasture,0.48258328437805176,False,21.445942,0.8986351
9,C:\Users\DELL Precision 5550\Documents\GitHub\Terrasight-Eurosat-RGB-vs-Multispectral\data\raw\rgb\Pasture\Pasture_1171.jpg,5,Pasture,5,Pasture,0.9983454942703247,True,4.0027657,14.364327
10,C:\Users\DELL Precision 5550\Documents\GitHub\Terrasight-Eurosat-RGB-vs-Multispectral\data\raw\rgb\HerbaceousVegetation\HerbaceousVegetation_1929.jpg,2,HerbaceousVegetation,2,HerbaceousVegetation,0.9999898672103882,True,-23.399244,-5.902149
11,C:\Users\DELL Precision 5550\Documents\GitHub\Terrasight-Eurosat-RGB-vs-Multispectral\data\raw\rgb\SeaLake\SeaLake_1146.jpg,9,SeaLake,9,SeaLake,0.9999994039535522,True,-1.2247984,67.63287
12,C:\Users\DELL Precision 5550\Documents\GitHub\Terrasight-Eurosat-RGB-vs-Multispectral\data\raw\rgb\Highway\Highway_1805.jpg,3,Highway,3,Highway,0.9993388056755066,True,35.832737,-31.95562
13,C:\Users\DELL Precision 5550\Documents\GitHub\Terrasight-Eurosat-RGB-vs-Multispectral\data\raw\rgb\Forest\Forest_947.jpg,1,Forest,1,Forest,0.9999792575836182,True,-43.28072,29.95756
14,C:\Users\DELL Precision 5550\Documents\GitHub\Terrasight-Eurosat-RGB-vs-Multispectral\data\raw\rgb\Highway\Highway_2329.jpg,3,Highway,3,Highway,0.9999294281005859,True,44.508343,-22.397936
15,C:\Users\DELL Precision 5550\Documents\GitHub\Terrasight-Eurosat-RGB-vs-Multispectral\data\raw\rgb\SeaLake\SeaLake_2057.jpg,9,SeaLake,9,SeaLake,0.9997952580451965,True,-0.43937978,62.58558
16,C:\Users\DELL Precision 5550\Documents\GitHub\Terrasight-Eurosat-RGB-vs-Multispectral\data\raw\rgb\AnnualCrop\AnnualCrop_1674.jpg,0,AnnualCrop,0,AnnualCrop,0.9999872446060181,True,49.60478,6.6753197
17,C:\Users\DELL Precision 5550\Documents\GitHub\Terrasight-Eurosat-RGB-vs-Multispectral\data\raw\rgb\SeaLake\SeaLake_1387.jpg,9,SeaLake,9,SeaLake,0.9999765157699585,True,0.6211685,64.35472
18,C:\Users\DELL Precision 5550\Documents\GitHub\Terrasight-Eurosat-RGB-vs-Multispectral\data\raw\rgb\Forest\Forest_1109.jpg,1,Forest,1,Forest,0.8271496891975403,True,-39.016876,25.104176
19,C:\Users\DELL Precision 5550\Documents\GitHub\Terrasight-Eurosat-RGB-vs-Multispectral\data\raw\rgb\AnnualCrop\AnnualCrop_799.jpg,0,AnnualCrop,0,AnnualCrop,0.8892436623573303,True,26.85061,11.076504
20,C:\Users\DELL Precision 5550\Documents\GitHub\Terrasight-Eurosat-RGB-vs-Multispectral\data\raw\rgb\AnnualCrop\AnnualCrop_2030.jpg,0,AnnualCrop,0,AnnualCrop,0.9960193037986755,True,28.782646,8.9284725
21,C:\Users\DELL Precision 5550\Documents\GitHub\Terrasight-Eurosat-RGB-vs-Multispectral\data\raw\rgb\SeaLake\SeaLake_2697.jpg,9,SeaLake,9,SeaLake,0.9999995231628418,True,-1.1990293,67.56926
22,C:\Users\DELL Precision 5550\Documents\GitHub\Terrasight-Eurosat-RGB-vs-Multispectral\data\raw\rgb\AnnualCrop\AnnualCrop_922.jpg,0,AnnualCrop,0,AnnualCrop,0.9999831914901733,True,51.69925,11.795064
23,C:\Users\DELL Precision 5550\Documents\GitHub\Terrasight-Eurosat-RGB-vs-Multispectral\data\raw\rgb\HerbaceousVegetation\HerbaceousVegetation_2337.jpg,2,HerbaceousVegetation,2,HerbaceousVegetation,0.9705572724342346,True,-6.4316235,-12.222708
24,C:\Users\DELL Precision 5550\Documents\GitHub\Terrasight-Eurosat-RGB-vs-Multispectral\data\raw\rgb\Pasture\Pasture_18.jpg,5,Pasture,5,Pasture,0.9994361996650696,True,3.7623641,16.862349
25,C:\Users\DELL Precision 5550\Documents\GitHub\Terrasight-Eurosat-RGB-vs-Multispectral\data\raw\rgb\Industrial\Industrial_1837.jpg,4,Industrial,4,Industrial,0.9880177974700928,True,-4.772902,-48.11646
26,C:\Users\DELL Precision 5550\Documents\GitHub\Terrasight-Eurosat-RGB-vs-Multispectral\data\raw\rgb\SeaLake\SeaLake_376.jpg,9,SeaLake,9,SeaLake,0.999961256980896,True,-7.154213,64.7733
27,C:\Users\DELL Precision 5550\Documents\GitHub\Terrasight-Eurosat-RGB-vs-Multispectral\data\raw\rgb\Residential\Residential_1129.jpg,7,Residential,7,Residential,0.9999737739562988,True,-48.760975,-37.788708
28,C:\Users\DELL Precision 5550\Documents\GitHub\Terrasight-Eurosat-RGB-vs-Multispectral\data\raw\rgb\HerbaceousVegetation\HerbaceousVegetation_2853.jpg,2,HerbaceousVegetation,2,HerbaceousVegetation,0.9985432624816895,True,-13.513703,-13.333721
29,C:\Users\DELL Precision 5550\Documents\GitHub\Terrasight-Eurosat-RGB-vs-Multispectral\data\raw\rgb\PermanentCrop\PermanentCrop_1680.jpg,6,PermanentCrop,6,PermanentCrop,0.7347877621650696,True,0.170442,-17.361013
