sample_index,path,true_label,true_class,predicted_label,predicted_class,confidence,correct,dim1,dim2
0,C:\Users\DELL Precision 5550\Documents\GitHub\Terrasight-Eurosat-RGB-vs-Multispectral\data\raw\rgb\AnnualCrop\AnnualCrop_2035.jpg,0,AnnualCrop,0,AnnualCrop,0.9994254112243652,True,2.5910535,13.128006
1,C:\Users\DELL Precision 5550\Documents\GitHub\Terrasight-Eurosat-RGB-vs-Multispectral\data\raw\rgb\Industrial\Industrial_926.jpg,4,Industrial,4,Industrial,0.998448371887207,True,-8.239148,1.340005
2,C:\Users\DELL Precision 5550\Documents\GitHub\Terrasight-Eurosat-RGB-vs-Multispectral\data\raw\rgb\AnnualCrop\AnnualCrop_705.jpg,0,AnnualCrop,0,AnnualCrop,0.9983653426170349,True,2.5694983,12.780903
3,C:\Users\DELL Precision 5550\Documents\GitHub\Terrasight-Eurosat-RGB-vs-Multispectral\data\raw\rgb\Forest\Forest_2954.jpg,1,Forest,1,Forest,0.9999885559082031,True,14.38082,-2.852603
4,C:\Users\DELL Precision 5550\Documents\GitHub\Terrasight-Eurosat-RGB-vs-Multispectral\data\raw\rgb\Industrial\Industrial_70.jpg,4,Industrial,4,Industrial,0.9999568462371826,True,-8.223079,1.9357396
5,C:\Users\DELL Precision 5550\Documents\GitHub\Terrasight-Eurosat-RGB-vs-Multispectral\data\raw\rgb\PermanentCrop\PermanentCrop_1176.jpg,6,PermanentCrop,6,PermanentCrop,0.9999992847442627,True,0.7912871,3.868973
6,C:\Users\DELL Precision 5550\Documents\GitHub\Terrasight-Eurosat-RGB-vs-Multispectral\data\raw\rgb\HerbaceousVegetation\HerbaceousVegetation_2302.jpg,2,HerbaceousVegetation,2,HerbaceousVegetation,0.9998749494552612,True,3.1982524,1.1297113
7,C:\Users\DELL Precision 5550\Documents\GitHub\Terrasight-Eurosat-RGB-vs-Multispectral\data\raw\rgb\Pasture\Pasture_683.jpg,5,Pasture,5,Pasture,0.9947314262390137,True,6.9815593,5.578715
8,C:\Users\DELL Precision 5550\Documents\GitHub\Terrasight-Eurosat-RGB-vs-Multispectral\data\raw\rgb\PermanentCrop\PermanentCrop_580.jpg,6,PermanentCrop,5,Pasture,0.48258328437805176,False,2.7393694,10.919784
9,C:\Users\DELL Precision 5550\Documents\GitHub\Terrasight-Eurosat-RGB-vs-Multispectral\data\raw\rgb\Pasture\Pasture_1171.jpg,5,Pasture,5,Pasture,0.9983454942703247,True,7.020562,5.1090136
10,C:\Users\DELL Precision 5550\Documents\GitHub\Terrasight-Eurosat-RGB-vs-Multispectral\data\raw\rgb\HerbaceousVegetation\HerbaceousVegetation_1929.jpg,2,HerbaceousVegetation,2,HerbaceousVegetation,0.9999898672103882,True,3.452654,-0.0227241
11,C:\Users\DELL Precision 5550\Documents\GitHub\Terrasight-Eurosat-RGB-vs-Multispectral\data\raw\rgb\SeaLake\SeaLake_1146.jpg,9,SeaLake,9,SeaLake,0.9999994039535522,True,17.356417,13.148784
12,C:\Users\DELL Precision 5550\Documents\GitHub\Terrasight-Eurosat-RGB-vs-Multispectral\data\raw\rgb\Highway\Highway_1805.jpg,3,Highway,3,Highway,0.9993388056755066,True,-0.43526158,9.672575
13,C:\Users\DELL Precision 5550\Documents\GitHub\Terrasight-Eurosat-RGB-vs-Multispectral\data\raw\rgb\Forest\Forest_947.jpg,1,Forest,1,Forest,0.9999792575836182,True,14.45511,-0.8578991
14,C:\Users\DELL Precision 5550\Documents\GitHub\Terrasight-Eurosat-RGB-vs-Multispectral\data\raw\rgb\Highway\Highway_2329.jpg,3,Highway,3,Highway,0.9999294281005859,True,-0.3739834,10.310867
15,C:\Users\DELL Precision 5550\Documents\GitHub\Terrasight-Eurosat-RGB-vs-Multispectral\data\raw\rgb\SeaLake\SeaLake_2057.jpg,9,SeaLake,9,SeaLake,0.9997952580451965,True,16.985426,13.107961
16,C:\Users\DELL Precision 5550\Documents\GitHub\Terrasight-Eurosat-RGB-vs-Multispectral\data\raw\rgb\AnnualCrop\AnnualCrop_1674.jpg,0,AnnualCrop,0,AnnualCrop,0.9999872446060181,True,2.401646,14.445641
17,C:\Users\DELL Precision 5550\Documents\GitHub\Terrasight-Eurosat-RGB-vs-Multispectral\data\raw\rgb\SeaLake\SeaLake_1387.jpg,9,SeaLake,9,SeaLake,0.9999765157699585,True,17.179918,13.147128
18,C:\Users\DELL Precision 5550\Documents\GitHub\Terrasight-Eurosat-RGB-vs-Multispectral\data\raw\rgb\Forest\Forest_1109.jpg,1,Forest,1,Forest,0.8271496891975403,True,13.717909,-0.67581886
19,C:\Users\DELL Precision 5550\Documents\GitHub\Terrasight-Eurosat-RGB-vs-Multispectral\data\raw\rgb\AnnualCrop\AnnualCrop_799.jpg,0,AnnualCrop,0,AnnualCrop,0.8892436623573303,True,3.5059178,11.346069
20,C:\Users\DELL Precision 5550\Documents\GitHub\Terrasight-Eurosat-RGB-vs-Multispectral\data\raw\rgb\AnnualCrop\AnnualCrop_2030.jpg,0,AnnualCrop,0,AnnualCrop,0.9960193037986755,True,3.0401187,12.002987
21,C:\Users\DELL Precision 5550\Documents\GitHub\Terrasight-Eurosat-RGB-vs-Multispectral\data\raw\rgb\SeaLake\SeaLake_2697.jpg,9,SeaLake,9,SeaLake,0.9999995231628418,True,17.34707,13.153822
