sample_index,path,true_label,true_class,predicted_label,predicted_class,confidence,correct,dim1,dim2
0,C:\Users\DELL Precision 5550\Documents\GitHub\Terrasight-Eurosat-RGB-vs-Multispectral\data\raw\multispectral\AnnualCrop\AnnualCrop_2035.tif,0,AnnualCrop,0,AnnualCrop,0.9860072135925293,True,-33.01495,-22.747223
1,C:\Users\DELL Precision 5550\Documents\GitHub\Terrasight-Eurosat-RGB-vs-Multispectral\data\raw\multispectral\Industrial\Industrial_926.tif,4,Industrial,4,Industrial,0.9992198944091797,True,44.189255,-20.701817
2,C:\Users\DELL Precision 5550\Documents\GitHub\Terrasight-Eurosat-RGB-vs-Multispectral\data\raw\multispectral\AnnualCrop\AnnualCrop_705.tif,0,AnnualCrop,0,AnnualCrop,0.9761533737182617,True,-23.96493,-32.468178
3,C:\Users\DELL Precision 5550\Documents\GitHub\Terrasight-Eurosat-RGB-vs-Multispectral\data\raw\multispectral\Forest\Forest_2954.tif,1,Forest,1,Forest,0.9985663294792175,True,23.594873,29.543142
4,C:\Users\DELL Precision 5550\Documents\GitHub\Terrasight-Eurosat-RGB-vs-Multispectral\data\raw\multispectral\Industrial\Industrial_70.tif,4,Industrial,4,Industrial,0.9999783039093018,True,44.448235,-28.915834
5,C:\Users\DELL Precision 5550\Documents\GitHub\Terrasight-Eurosat-RGB-vs-Multispectral\data\raw\multispectral\PermanentCrop\PermanentCrop_1176.tif,6,PermanentCrop,6,PermanentCrop,0.9991338849067688,True,-2.1652253,-25.512547
6,C:\Users\DELL Precision 5550\Documents\GitHub\Terrasight-Eurosat-RGB-vs-Multispectral\data\raw\multispectral\HerbaceousVegetation\HerbaceousVegetation_2302.tif,2,HerbaceousVegetation,2,HerbaceousVegetation,0.9991562366485596,True,-3.547049,5.311301
7,C:\Users\DELL Precision 5550\Documents\GitHub\Terrasight-Eurosat-RGB-vs-Multispectral\data\raw\multispectral\Pasture\Pasture_683.tif,5,Pasture,5,Pasture,0.9916951060295105,True,-39.620712,-6.0898485
8,C:\Users\DELL Precision 5550\Documents\GitHub\Terrasight-Eurosat-RGB-vs-Multispectral\data\raw\multispectral\PermanentCrop\PermanentCrop_580.tif,6,PermanentCrop,6,PermanentCrop,0.5950821042060852,True,-15.342445,-29.333925
9,C:\Users\DELL Precision 5550\Documents\GitHub\Terrasight-Eurosat-RGB-vs-Multispectral\data\raw\multispectral\Pasture\Pasture_1171.tif,5,Pasture,5,Pasture,0.9869133830070496,True,-32.472782,-7.431356
10,C:\Users\DELL Precision 5550\Documents\GitHub\Terrasight-Eurosat-RGB-vs-Multispectral\data\raw\multispectral\HerbaceousVegetation\HerbaceousVegetation_1929.tif,2,HerbaceousVegetation,2,HerbaceousVegetation,0.9999243021011353,True,-4.6156096,12.179821
11,C:\Users\DELL Precision 5550\Documents\GitHub\Terrasight-Eurosat-RGB-vs-Multispectral\data\raw\multispectral\SeaLake\SeaLake_1146.tif,9,SeaLake,9,SeaLake,0.999992847442627,True,-6.350729,63.82904
12,C:\Users\DELL Precision 5550\Documents\GitHub\Terrasight-Eurosat-RGB-vs-Multispectral\data\raw\multispectral\Highway\Highway_1805.tif,3,Highway,3,Highway,0.9989331364631653,True,18.624811,-51.283188
13,C:\Users\DELL Precision 5550\Documents\GitHub\Terrasight-Eurosat-RGB-vs-Multispectral\data\raw\multispectral\Forest\Forest_947.tif,1,Forest,1,Forest,0.9992604851722717,True,23.02448,39.618137
