sample_index,path,true_label,true_class,predicted_label,predicted_class,confidence,correct,dim1,dim2
0,C:\Users\DELL Precision 5550\Documents\GitHub\Terrasight-Eurosat-RGB-vs-Multispectral\data\raw\multispectral\AnnualCrop\AnnualCrop_2035.tif,0,AnnualCrop,0,AnnualCrop,0.9860072135925293,True,2.1383898,-0.90081996
1,C:\Users\DELL Precision 5550\Documents\GitHub\Terrasight-Eurosat-RGB-vs-Multispectral\data\raw\multispectral\Industrial\Industrial_926.tif,4,Industrial,4,Industrial,0.9992198944091797,True,1.0129352,12.587954
2,C:\Users\DELL Precision 5550\Documents\GitHub\Terrasight-Eurosat-RGB-vs-Multispectral\data\raw\multispectral\AnnualCrop\AnnualCrop_705.tif,0,AnnualCrop,0,AnnualCrop,0.9761533737182617,True,1.7329483,0.23126632
3,C:\Users\DELL Precision 5550\Documents\GitHub\Terrasight-Eurosat-RGB-vs-Multispectral\data\raw\multispectral\Forest\Forest_2954.tif,1,Forest,1,Forest,0.9985663294792175,True,-2.873426,-8.207233
4,C:\Users\DELL Precision 5550\Documents\GitHub\Terrasight-Eurosat-RGB-vs-Multispectral\data\raw\multispectral\Industrial\Industrial_70.tif,4,Industrial,4,Industrial,0.9999783039093018,True,1.6188121,11.972368
5,C:\Users\DELL Precision 5550\Documents\GitHub\Terrasight-Eurosat-RGB-vs-Multispectral\data\raw\multispectral\PermanentCrop\PermanentCrop_1176.tif,6,PermanentCrop,6,PermanentCrop,0.9991338849067688,True,-1.1454623,1.5716907
6,C:\Users\DELL Precision 5550\Documents\GitHub\Terrasight-Eurosat-RGB-vs-Multispectral\data\raw\multispectral\HerbaceousVegetation\HerbaceousVegetation_2302.tif,2,HerbaceousVegetation,2,HerbaceousVegetation,0.9991562366485596,True,-4.8319097,-1.4528203
7,C:\Users\DELL Precision 5550\Documents\GitHub\Terrasight-Eurosat-RGB-vs-Multispectral\data\raw\multispectral\Pasture\Pasture_683.tif,5,Pasture,5,Pasture,0.9916951060295105,True,1.8102541,-3.4556372
8,C:\Users\DELL Precision 5550\Documents\GitHub\Terrasight-Eurosat-RGB-vs-Multispectral\data\raw\multispectral\PermanentCrop\PermanentCrop_580.tif,6,PermanentCrop,6,PermanentCrop,0.5950821042060852,True,0.4455714,0.5034243
9,C:\Users\DELL Precision 5550\Documents\GitHub\Terrasight-Eurosat-RGB-vs-Multispectral\data\raw\multispectral\Pasture\Pasture_1171.tif,5,Pasture,5,Pasture,0.9869133830070496,True,1.1273463,-2.731355
