sample_index,path,true_label,true_class,predicted_label,predicted_class,confidence,correct,dim1,dim2
0,C:\Users\DELL Precision 5550\Documents\GitHub\Terrasight-Eurosat-RGB-vs-Multispectral\data\raw\rgb\AnnualCrop\AnnualCrop_2035.jpg,0,AnnualCrop,0,AnnualCrop,0.9961838126182556,True,-55.80689,8.647853
1,C:\Users\DELL Precision 5550\Documents\GitHub\Terrasight-Eurosat-RGB-vs-Multispectral\data\raw\rgb\Industrial\Industrial_926.jpg,4,Industrial,4,Industrial,0.9999204874038696,True,33.178555,-25.473286
2,C:\Users\DELL Precision 5550\Documents\GitHub\Terrasight-Eurosat-RGB-vs-Multispectral\data\raw\rgb\AnnualCrop\AnnualCrop_705.jpg,0,AnnualCrop,0,AnnualCrop,0.999576985836029,True,-44.225185,5.9340796
3,C:\Users\DELL Precision 5550\Documents\GitHub\Terrasight-Eurosat-RGB-vs-Multispectral\data\raw\rgb\Forest\Forest_2954.jpg,1,Forest,1,Forest,0.9999998807907104,True,-24.395117,40.66089
4,C:\Users\DELL Precision 5550\Documents\GitHub\Terrasight-Eurosat-RGB-vs-Multispectral\data\raw\rgb\Industrial\Industrial_70.jpg,4,Industrial,4,Industrial,1.0,True,30.295563,-42.11901
5,C:\Users\DELL Precision 5550\Documents\GitHub\Terrasight-Eurosat-RGB-vs-Multispectral\data\raw\rgb\PermanentCrop\PermanentCrop_1176.jpg,6,PermanentCrop,6,PermanentCrop,0.998426079750061,True,22.39887,-8.054597
6,C:\Users\DELL Precision 5550\Documents\GitHub\Terrasight-Eurosat-RGB-vs-Multispectral\data\raw\rgb\HerbaceousVegetation\HerbaceousVegetation_2302.jpg,2,HerbaceousVegetation,2,HerbaceousVegetation,0.9999973773956299,True,-6.636946,-21.522692
7,C:\Users\DELL Precision 5550\Documents\GitHub\Terrasight-Eurosat-RGB-vs-Multispectral\data\raw\rgb\Pasture\Pasture_683.jpg,5,Pasture,5,Pasture,0.9997681975364685,True,-0.7736369,16.313023
8,C:\Users\DELL Precision 5550\Documents\GitHub\Terrasight-Eurosat-RGB-vs-Multispectral\data\raw\rgb\PermanentCrop\PermanentCrop_580.jpg,6,PermanentCrop,0,AnnualCrop,0.5942668318748474,False,-32.68529,5.9593096
9,C:\Users\DELL Precision 5550\Documents\GitHub\Terrasight-Eurosat-RGB-vs-Multispectral\data\raw\rgb\Pasture\Pasture_1171.jpg,5,Pasture,5,Pasture,0.9973421692848206,True,-6.1506095,9.606087
10,C:\Users\DELL Precision 5550\Documents\GitHub\Terrasight-Eurosat-RGB-vs-Multispectral\data\raw\rgb\HerbaceousVegetation\HerbaceousVegetation_1929.jpg,2,HerbaceousVegetation,2,HerbaceousVegetation,0.9999889135360718,True,-9.853352,-17.367878
