Experiment ID,Band Set,Number of Channels,Accuracy,Macro-F1,Weighted-F1,Balanced Accuracy
v1_rgb_resnet18_seed42,RGB pretrained,3,0.9746296296296296,0.9737714068070408,0.9746526360633276,0.9734
v1_rgb_resnet18_scratch_seed42,RGB scratch,3,0.9468518518518518,0.9458390014492388,0.946827690681582,0.9459333333333332
v1_multispectral_resnet18_scratch_seed42,Multispectral scratch,13,0.932037037037037,0.929885421536454,0.9316404499998596,0.9308833333333334
v1_multispectral_resnet18_adapted_seed42,Multispectral pretrained adapted,13,0.9546296296296296,0.9537093986129198,0.9544573974941156,0.9542833333333332
v4_ablation_rgb_resnet18_pretrained_adapted_seed42,RGB ablation,3,0.9494444444444444,0.9480036810749348,0.9494595158783856,0.9476166666666666
v4_ablation_rgb_nir_resnet18_pretrained_adapted_seed42,RGB + NIR,4,0.9546296296296296,0.9531297758565876,0.9544003217275854,0.9527500000000002
v4_ablation_rgb_rededge_nir_resnet18_pretrained_adapted_seed42,RGB + RedEdge + NIR,8,0.9538888888888888,0.9528843506361276,0.9538515562561536,0.9527333333333332
v4_ablation_rgb_rededge_nir_swir_resnet18_pretrained_adapted_seed42,RGB + RedEdge + NIR + SWIR,10,0.9566666666666668,0.9555508997622836,0.9567428923949032,0.9543
v4_ablation_physical_bands_resnet18_pretrained_adapted_seed42,Physical Bands,10,0.954074074074074,0.9527580187274356,0.9539593464899856,0.95165
v4_ablation_full13_no_b10_resnet18_pretrained_adapted_seed42,Full13 no B10,12,0.9496296296296296,0.9479227946049976,0.9493610902332874,0.94765
v4_ablation_full13_resnet18_pretrained_adapted_seed42,Full13,13,0.9457407407407408,0.9442765688466276,0.9459222973431018,0.9449333333333334
