path,true_label,predicted_label,true_class,predicted_class,confidence,correct,prob_AnnualCrop,prob_Forest,prob_HerbaceousVegetation,prob_Highway,prob_Industrial,prob_Pasture,prob_PermanentCrop,prob_Residential,prob_River,prob_SeaLake
C:\Users\DELL Precision 5550\Documents\GitHub\Terrasight-Eurosat-RGB-vs-Multispectral\data\raw\multispectral\AnnualCrop\AnnualCrop_2035.tif,0,0,AnnualCrop,AnnualCrop,0.9977648258209229,1,0.9977648258209229,1.0248297144244134e-07,3.9263231883523986e-05,1.555317794554867e-05,5.371413749344356e-07,0.0019744844175875187,0.00019342228188179433,3.861863717702363e-08,2.385508537372516e-07,1.1605326108110603e-05
C:\Users\DELL Precision 5550\Documents\GitHub\Terrasight-Eurosat-RGB-vs-Multispectral\data\raw\multispectral\Industrial\Industrial_926.tif,4,4,Industrial,Industrial,0.9999923706054688,1,8.191133188395483e-11,2.362853912529772e-09,1.2168132279555266e-08,2.3635491785967133e-08,0.9999923706054688,8.410175333928294e-11,4.225250052058982e-07,7.155764251365326e-06,3.02493297077433e-09,8.39565049426394e-12
C:\Users\DELL Precision 5550\Documents\GitHub\Terrasight-Eurosat-RGB-vs-Multispectral\data\raw\multispectral\AnnualCrop\AnnualCrop_705.tif,0,0,AnnualCrop,AnnualCrop,0.9690371751785278,1,0.9690371751785278,6.5788486836027e-07,3.438017301959917e-05,0.028721829876303673,0.00010385231144027784,0.0015694149769842625,0.0005009470623917878,3.567396106518572e-06,2.6407396944705397e-05,1.5528112271567807e-06
C:\Users\DELL Precision 5550\Documents\GitHub\Terrasight-Eurosat-RGB-vs-Multispectral\data\raw\multispectral\Forest\Forest_2954.tif,1,1,Forest,Forest,0.9999957084655762,1,2.837593875149036e-12,0.9999957084655762,2.9886795815947664e-10,1.0630282210044584e-09,2.691222591999498e-11,4.3215400182816666e-06,2.095616569164349e-09,9.357923325126194e-10,6.077157110873088e-10,9.220097602069544e-11
C:\Users\DELL Precision 5550\Documents\GitHub\Terrasight-Eurosat-RGB-vs-Multispectral\data\raw\multispectral\Industrial\Industrial_70.tif,4,4,Industrial,Industrial,1.0,1,1.7116038133254546e-13,1.9917040077509012e-17,1.2389360337075519e-14,4.280379606314e-09,1.0,4.708533069311508e-17,9.304351733518956e-11,2.1789561266416513e-09,4.124717494641272e-12,2.1365173595377022e-17
C:\Users\DELL Precision 5550\Documents\GitHub\Terrasight-Eurosat-RGB-vs-Multispectral\data\raw\multispectral\PermanentCrop\PermanentCrop_1176.tif,6,6,PermanentCrop,PermanentCrop,1.0,1,4.6966985856045085e-11,2.3095360259656195e-13,4.769756145606152e-09,9.528827379923221e-12,6.880701564071501e-11,8.530409156826124e-10,1.0,1.8408434498962123e-11,3.8892778158206714e-14,1.7478055822097945e-15
C:\Users\DELL Precision 5550\Documents\GitHub\Terrasight-Eurosat-RGB-vs-Multispectral\data\raw\multispectral\HerbaceousVegetation\HerbaceousVegetation_2302.tif,2,2,HerbaceousVegetation,HerbaceousVegetation,0.2733869254589081,1,0.0004604140995070338,0.0029319659806787968,0.2733869254589081,0.22360803186893463,0.09240934252738953,0.0006411454523913562,0.0006414591916836798,0.2644806206226349,0.14108191430568695,0.000358163146302104
C:\Users\DELL Precision 5550\Documents\GitHub\Terrasight-Eurosat-RGB-vs-Multispectral\data\raw\multispectral\Pasture\Pasture_683.tif,5,5,Pasture,Pasture,0.9979650974273682,1,0.001600960036739707,1.2787687410309445e-05,3.266909516241867e-06,0.0003612157015595585,1.2343611160758883e-05,0.9979650974273682,2.6423258532304317e-06,5.8037329608851e-07,3.196051329723559e-05,9.143760507868137e-06
C:\Users\DELL Precision 5550\Documents\GitHub\Terrasight-Eurosat-RGB-vs-Multispectral\data\raw\multispectral\PermanentCrop\PermanentCrop_580.tif,6,0,PermanentCrop,AnnualCrop,0.9577533006668091,0,0.9577533006668091,7.678765541641042e-06,0.001516310847364366,0.0001754766853991896,7.023489888524637e-05,0.025492742657661438,0.014949881471693516,1.0589366183921811e-06,2.2533768060384318e-05,1.0700615348469e-05
C:\Users\DELL Precision 5550\Documents\GitHub\Terrasight-Eurosat-RGB-vs-Multispectral\data\raw\multispectral\Pasture\Pasture_1171.tif,5,5,Pasture,Pasture,0.8622778654098511,1,0.13543391227722168,0.00019281577260699123,0.0003486463101580739,0.0010502268560230732,1.1497184004838346e-06,0.8622778654098511,8.948228787630796e-05,1.3563779077685467e-07,0.0004638591199181974,0.00014193607785273343
