path,true_label,predicted_label,true_class,predicted_class,confidence,correct,prob_AnnualCrop,prob_Forest,prob_HerbaceousVegetation,prob_Highway,prob_Industrial,prob_Pasture,prob_PermanentCrop,prob_Residential,prob_River,prob_SeaLake
C:\Users\DELL Precision 5550\Documents\GitHub\Terrasight-Eurosat-RGB-vs-Multispectral\data\raw\multispectral\AnnualCrop\AnnualCrop_2035.tif,0,0,AnnualCrop,AnnualCrop,0.9999899864196777,1,0.9999899864196777,5.4033905821926353e-11,2.1363430136034367e-08,2.2810812083662313e-07,3.3860297898868907e-10,9.48901470110286e-06,5.587951079633058e-08,6.457825593719768e-12,1.5769989758496195e-08,1.905028028659217e-07
C:\Users\DELL Precision 5550\Documents\GitHub\Terrasight-Eurosat-RGB-vs-Multispectral\data\raw\multispectral\Industrial\Industrial_926.tif,4,4,Industrial,Industrial,0.9999963045120239,1,6.674282654328678e-12,5.644384265535152e-12,4.832364286500024e-09,3.6592748529074015e-06,0.9999963045120239,7.137048764482845e-12,2.450192548852925e-10,1.3487535532874517e-08,3.189539743431169e-10,1.4397394734744218e-11
C:\Users\DELL Precision 5550\Documents\GitHub\Terrasight-Eurosat-RGB-vs-Multispectral\data\raw\multispectral\AnnualCrop\AnnualCrop_705.tif,0,0,AnnualCrop,AnnualCrop,0.9999414682388306,1,0.9999414682388306,6.605754609978476e-09,5.2471132221398875e-06,2.7276184937363723e-06,2.6092641292052576e-07,8.27904023026349e-06,4.1564828279661015e-05,7.952448699555248e-10,2.3757527856105298e-07,1.9155125130509987e-07
C:\Users\DELL Precision 5550\Documents\GitHub\Terrasight-Eurosat-RGB-vs-Multispectral\data\raw\multispectral\Forest\Forest_2954.tif,1,1,Forest,Forest,1.0,1,1.797217058605461e-14,1.0,3.221828728285081e-14,4.51838219617251e-11,1.097281770653935e-12,3.53075242653933e-11,1.90568708139131e-14,4.768198058613393e-10,5.786552226966224e-12,4.85778883785315e-08
C:\Users\DELL Precision 5550\Documents\GitHub\Terrasight-Eurosat-RGB-vs-Multispectral\data\raw\multispectral\Industrial\Industrial_70.tif,4,4,Industrial,Industrial,1.0,1,7.168791385167572e-13,1.4570360909005146e-14,4.0678727747378574e-11,2.5562238992193898e-09,1.0,5.245450341445634e-13,1.4918235917427136e-12,1.2035565877255294e-09,1.2176141171715837e-12,4.578838393512474e-13
C:\Users\DELL Precision 5550\Documents\GitHub\Terrasight-Eurosat-RGB-vs-Multispectral\data\raw\multispectral\PermanentCrop\PermanentCrop_1176.tif,6,6,PermanentCrop,PermanentCrop,0.9999969005584717,1,2.8869023935840232e-06,9.112603727157165e-11,1.265221953872242e-07,1.0091510960208439e-09,2.3045844343982935e-08,3.3933025278543028e-09,0.9999969005584717,5.779134326644453e-08,1.3986417059241862e-11,1.9003604245781958e-10
C:\Users\DELL Precision 5550\Documents\GitHub\Terrasight-Eurosat-RGB-vs-Multispectral\data\raw\multispectral\HerbaceousVegetation\HerbaceousVegetation_2302.tif,2,2,HerbaceousVegetation,HerbaceousVegetation,0.7224359512329102,1,3.0498220439767465e-05,0.2748412787914276,0.7224359512329102,5.238850917521631e-06,5.683164090442006e-07,3.937476867577061e-05,1.821352452680003e-05,2.0694420754807652e-07,2.2447349692811258e-05,0.002606199122965336
C:\Users\DELL Precision 5550\Documents\GitHub\Terrasight-Eurosat-RGB-vs-Multispectral\data\raw\multispectral\Pasture\Pasture_683.tif,5,5,Pasture,Pasture,1.0,1,7.544360136613193e-10,3.2222072121612655e-08,6.497631321877861e-10,6.670763386118495e-10,1.7843096444813966e-10,1.0,3.269923354309867e-08,1.4570501749577858e-10,3.2202700506189785e-09,1.852781296440842e-11
C:\Users\DELL Precision 5550\Documents\GitHub\Terrasight-Eurosat-RGB-vs-Multispectral\data\raw\multispectral\PermanentCrop\PermanentCrop_580.tif,6,6,PermanentCrop,PermanentCrop,0.5399723649024963,1,0.2789928615093231,2.8960434406144486e-07,0.0003694942861329764,0.00018141057807952166,0.00015989791427273303,0.18026232719421387,0.5399723649024963,3.969873318965256e-07,6.092357580200769e-05,3.134810455662773e-08
C:\Users\DELL Precision 5550\Documents\GitHub\Terrasight-Eurosat-RGB-vs-Multispectral\data\raw\multispectral\Pasture\Pasture_1171.tif,5,5,Pasture,Pasture,0.9999747276306152,1,7.908574843895622e-06,2.070721166091971e-06,4.213536186625788e-08,4.923565555259302e-09,8.849203488037194e-12,0.9999747276306152,1.1135495192604594e-08,6.455851478404107e-13,1.5190714293566998e-05,2.6423303545186627e-09
