path,true_label,predicted_label,true_class,predicted_class,confidence,correct,prob_AnnualCrop,prob_Forest,prob_HerbaceousVegetation,prob_Highway,prob_Industrial,prob_Pasture,prob_PermanentCrop,prob_Residential,prob_River,prob_SeaLake
C:\Users\DELL Precision 5550\Documents\GitHub\Terrasight-Eurosat-RGB-vs-Multispectral\data\raw\rgb\AnnualCrop\AnnualCrop_2035.jpg,0,0,AnnualCrop,AnnualCrop,0.9999066591262817,1,0.9999066591262817,1.1241612440926474e-07,3.061784809688106e-05,3.544046649039956e-06,6.134385444056534e-07,5.674071417161031e-07,5.6251130445161834e-05,2.0875535255981958e-07,1.244933173438767e-06,1.3507700202808337e-07
C:\Users\DELL Precision 5550\Documents\GitHub\Terrasight-Eurosat-RGB-vs-Multispectral\data\raw\rgb\Industrial\Industrial_926.jpg,4,4,Industrial,Industrial,0.9998795986175537,1,3.263352088556104e-10,7.342342706051497e-11,3.877149268305402e-08,8.397595593123697e-06,0.9998795986175537,3.6518266188778625e-10,5.503639144421868e-08,0.00011180981528013945,6.239498162585733e-08,2.808888233118978e-08
C:\Users\DELL Precision 5550\Documents\GitHub\Terrasight-Eurosat-RGB-vs-Multispectral\data\raw\rgb\AnnualCrop\AnnualCrop_705.jpg,0,0,AnnualCrop,AnnualCrop,0.9212538003921509,1,0.9212538003921509,5.293950877671705e-08,4.4571202124643605e-06,6.453739479184151e-05,5.3392586352174476e-08,1.416543568666384e-06,0.07867162674665451,4.0075158835861657e-07,3.5368143471714575e-06,6.555407772168564e-09
C:\Users\DELL Precision 5550\Documents\GitHub\Terrasight-Eurosat-RGB-vs-Multispectral\data\raw\rgb\Forest\Forest_2954.jpg,1,1,Forest,Forest,0.9999697208404541,1,2.5293224098277278e-05,0.9999697208404541,1.6177706640974066e-07,1.1179604797462162e-07,7.305656080092149e-09,4.443073109428042e-08,2.5091756228334816e-08,5.962682791960106e-08,4.661203831801686e-07,4.146162154938793e-06
C:\Users\DELL Precision 5550\Documents\GitHub\Terrasight-Eurosat-RGB-vs-Multispectral\data\raw\rgb\Industrial\Industrial_70.jpg,4,4,Industrial,Industrial,0.9999557733535767,1,4.8995303814081126e-08,3.096748857345233e-09,4.055983299622312e-05,2.1868017086035252e-07,0.9999557733535767,2.8316712863407645e-10,3.076746395436203e-07,7.428027402056614e-07,3.6472147968424906e-08,2.289958274559467e-06
C:\Users\DELL Precision 5550\Documents\GitHub\Terrasight-Eurosat-RGB-vs-Multispectral\data\raw\rgb\PermanentCrop\PermanentCrop_1176.jpg,6,6,PermanentCrop,PermanentCrop,0.9927659034729004,1,4.090080983587541e-05,2.7535854485449818e-08,0.007192912977188826,1.973631036378265e-08,3.6308367423742993e-09,4.9819732339528855e-08,0.9927659034729004,1.6001811786736653e-07,3.9892289471765707e-10,5.250700763070881e-09
C:\Users\DELL Precision 5550\Documents\GitHub\Terrasight-Eurosat-RGB-vs-Multispectral\data\raw\rgb\HerbaceousVegetation\HerbaceousVegetation_2302.jpg,2,2,HerbaceousVegetation,HerbaceousVegetation,0.9999901056289673,1,2.547562871768605e-06,1.7986125158131472e-06,0.9999901056289673,1.733252361191262e-06,2.951069006940088e-07,2.369059259876849e-08,5.180033895157976e-07,4.1280554796685465e-07,1.62937078584946e-06,1.0638767662385362e-06
C:\Users\DELL Precision 5550\Documents\GitHub\Terrasight-Eurosat-RGB-vs-Multispectral\data\raw\rgb\Pasture\Pasture_683.jpg,5,5,Pasture,Pasture,0.9978353381156921,1,3.492850169095618e-07,2.3360382328974083e-05,1.7623027588342666e-06,0.0008622644818387926,0.0001257924595847726,0.9978353381156921,4.96634456794709e-05,0.0005308773252181709,0.0005420587840490043,2.852908437489532e-05
C:\Users\DELL Precision 5550\Documents\GitHub\Terrasight-Eurosat-RGB-vs-Multispectral\data\raw\rgb\PermanentCrop\PermanentCrop_580.jpg,6,6,PermanentCrop,PermanentCrop,0.8272003531455994,1,0.0005618645809590816,1.2035755389661063e-05,0.00063860765658319,0.003367392811924219,0.010099312290549278,0.1318317949771881,0.8272003531455994,0.00022733227524440736,0.025468289852142334,0.0005930539919063449
C:\Users\DELL Precision 5550\Documents\GitHub\Terrasight-Eurosat-RGB-vs-Multispectral\data\raw\rgb\Pasture\Pasture_1171.jpg,5,5,Pasture,Pasture,0.9998955726623535,1,1.2731595234072302e-05,7.950435974635184e-05,4.716642706625862e-06,1.1148533651805792e-08,1.4549382809647682e-09,0.9998955726623535,3.4314432184601174e-08,9.927335753445732e-08,1.9592223452491453e-06,5.319170668371953e-06
