path,true_label,predicted_label,true_class,predicted_class,confidence,correct,prob_AnnualCrop,prob_Forest,prob_HerbaceousVegetation,prob_Highway,prob_Industrial,prob_Pasture,prob_PermanentCrop,prob_Residential,prob_River,prob_SeaLake
C:\Users\DELL Precision 5550\Documents\GitHub\Terrasight-Eurosat-RGB-vs-Multispectral\data\raw\rgb\AnnualCrop\AnnualCrop_2035.jpg,0,0,AnnualCrop,AnnualCrop,0.9994254112243652,1,0.9994254112243652,5.571412131644138e-08,3.3853724744403735e-05,4.647610694519244e-06,2.432102064631181e-06,0.00047059531789273024,2.180838600907009e-05,2.998133963316718e-10,1.7272718650929164e-06,3.965979703934863e-05
C:\Users\DELL Precision 5550\Documents\GitHub\Terrasight-Eurosat-RGB-vs-Multispectral\data\raw\rgb\Industrial\Industrial_926.jpg,4,4,Industrial,Industrial,0.998448371887207,1,4.103066331140326e-09,8.330007794654648e-09,8.96843175723916e-06,9.37204240472056e-05,0.998448371887207,2.820227678057563e-07,1.1987447123829043e-06,0.001429745345376432,1.7662407117313705e-05,7.697303772147279e-08
C:\Users\DELL Precision 5550\Documents\GitHub\Terrasight-Eurosat-RGB-vs-Multispectral\data\raw\rgb\AnnualCrop\AnnualCrop_705.jpg,0,0,AnnualCrop,AnnualCrop,0.9983653426170349,1,0.9983653426170349,9.649118055676809e-07,0.0003366961027495563,2.8185775136080338e-06,4.4057054537915974e-07,0.0009665263351053,0.00030291773146018386,1.133842131295637e-09,1.4852399544906802e-05,9.343754754809197e-06
C:\Users\DELL Precision 5550\Documents\GitHub\Terrasight-Eurosat-RGB-vs-Multispectral\data\raw\rgb\Forest\Forest_2954.jpg,1,1,Forest,Forest,0.9999885559082031,1,6.492997806084588e-10,0.9999885559082031,2.308300281583797e-06,3.999850051172871e-08,5.1222054375799075e-11,1.0321796750645262e-09,3.1051117233005243e-10,8.355450518138241e-06,2.7935493918107568e-08,8.063889254117385e-07
C:\Users\DELL Precision 5550\Documents\GitHub\Terrasight-Eurosat-RGB-vs-Multispectral\data\raw\rgb\Industrial\Industrial_70.jpg,4,4,Industrial,Industrial,0.9999568462371826,1,3.879742038748191e-08,2.121701259127917e-09,1.0631614713929594e-05,3.197625119355507e-06,0.9999568462371826,2.265536295453785e-06,7.891054337960668e-06,1.831206100177951e-05,7.040318905637832e-07,8.730885525665144e-08
C:\Users\DELL Precision 5550\Documents\GitHub\Terrasight-Eurosat-RGB-vs-Multispectral\data\raw\rgb\PermanentCrop\PermanentCrop_1176.jpg,6,6,PermanentCrop,PermanentCrop,0.9999992847442627,1,3.347609967008225e-09,1.3004159381269087e-13,3.79993991828087e-07,1.4351431501524736e-11,8.697721431971672e-10,3.63542568493358e-07,0.9999992847442627,5.7161337295441594e-12,2.8560070974847918e-11,1.795479230224337e-17
C:\Users\DELL Precision 5550\Documents\GitHub\Terrasight-Eurosat-RGB-vs-Multispectral\data\raw\rgb\HerbaceousVegetation\HerbaceousVegetation_2302.jpg,2,2,HerbaceousVegetation,HerbaceousVegetation,0.9998749494552612,1,3.9764000803188537e-07,1.5367365335805516e-07,0.9998749494552612,8.284598879981786e-05,9.88623287412338e-06,4.5686843463954574e-07,2.176258567487821e-05,6.641769800808106e-07,7.838573765184265e-06,8.590744755565538e-07
C:\Users\DELL Precision 5550\Documents\GitHub\Terrasight-Eurosat-RGB-vs-Multispectral\data\raw\rgb\Pasture\Pasture_683.jpg,5,5,Pasture,Pasture,0.9947314262390137,1,7.379325688816607e-05,7.768467185087502e-05,9.952769323717803e-05,0.0024785934947431087,0.0011150321224704385,0.9947314262390137,0.0007153856568038464,0.00044458804768510163,0.00013047594984527677,0.00013343818136490881
C:\Users\DELL Precision 5550\Documents\GitHub\Terrasight-Eurosat-RGB-vs-Multispectral\data\raw\rgb\PermanentCrop\PermanentCrop_580.jpg,6,5,PermanentCrop,Pasture,0.48258328437805176,0,0.08564520627260208,0.00014076415391173214,0.012424787506461143,0.011831420473754406,0.004927376750856638,0.48258328437805176,0.4002437889575958,4.7768658987479284e-05,0.0019621688406914473,0.00019350071670487523
C:\Users\DELL Precision 5550\Documents\GitHub\Terrasight-Eurosat-RGB-vs-Multispectral\data\raw\rgb\Pasture\Pasture_1171.jpg,5,5,Pasture,Pasture,0.9983454942703247,1,0.0009618108160793781,0.00015359136159531772,0.0003536300209816545,1.781464015948586e-05,9.545383363729343e-07,0.9983454942703247,6.062915417714976e-05,1.633271864420749e-07,2.5211411411873996e-06,0.000103500991826877
C:\Users\DELL Precision 5550\Documents\GitHub\Terrasight-Eurosat-RGB-vs-Multispectral\data\raw\rgb\HerbaceousVegetation\HerbaceousVegetation_1929.jpg,2,2,HerbaceousVegetation,HerbaceousVegetation,0.9999898672103882,1,1.66408276047747e-09,3.2365828767089155e-11,0.9999898672103882,1.1304112507160013e-10,4.311029831727264e-12,3.8859653272993455e-08,1.0151315109396819e-05,2.3633750663963615e-13,4.022673860681891e-10,4.080088860086012e-13
C:\Users\DELL Precision 5550\Documents\GitHub\Terrasight-Eurosat-RGB-vs-Multispectral\data\raw\rgb\SeaLake\SeaLake_1146.jpg,9,9,SeaLake,SeaLake,0.9999994039535522,1,3.4857046671277203e-07,1.486316563159562e-07,7.188056372342544e-08,4.1567567166111985e-08,9.862227479118246e-09,5.6109236368229176e-08,2.3772706025937396e-11,6.138385910681166e-10,2.518643604787485e-08,0.9999994039535522
C:\Users\DELL Precision 5550\Documents\GitHub\Terrasight-Eurosat-RGB-vs-Multispectral\data\raw\rgb\Highway\Highway_1805.jpg,3,3,Highway,Highway,0.9993388056755066,1,1.8401311763227568e-06,7.2496376901654e-08,1.3015628610446583e-05,0.9993388056755066,0.00013080990174785256,2.940847707577632e-07,1.8846625607693568e-05,1.8359592104388867e-06,0.0004945474793203175,2.458242498448726e-08
C:\Users\DELL Precision 5550\Documents\GitHub\Terrasight-Eurosat-RGB-vs-Multispectral\data\raw\rgb\Forest\Forest_947.jpg,1,1,Forest,Forest,0.9999792575836182,1,1.5219668966892641e-05,0.9999792575836182,7.805980430930504e-07,4.810184464076883e-07,3.832079376042685e-10,2.2758820250601275e-06,1.873851545042271e-07,1.618069234154973e-08,1.2073801372025628e-06,4.762630112509214e-07
C:\Users\DELL Precision 5550\Documents\GitHub\Terrasight-Eurosat-RGB-vs-Multispectral\data\raw\rgb\Highway\Highway_2329.jpg,3,3,Highway,Highway,0.9999294281005859,1,3.368313264218159e-05,1.2730950516015582e-08,1.092770071409177e-05,0.9999294281005859,8.441889804089442e-06,6.010184279148234e-07,4.40740535623263e-07,4.2813229583771317e-07,1.5777091903146356e-05,2.0144501888808009e-07
C:\Users\DELL Precision 5550\Documents\GitHub\Terrasight-Eurosat-RGB-vs-Multispectral\data\raw\rgb\SeaLake\SeaLake_2057.jpg,9,9,SeaLake,SeaLake,0.9997952580451965,1,0.0001863962534116581,1.4626845768361818e-05,1.566108238648667e-07,5.982422521810804e-07,6.403757879525074e-08,2.643155539772124e-06,3.606130061228896e-09,2.409446198115006e-09,1.993018088342069e-07,0.9997952580451965
C:\Users\DELL Precision 5550\Documents\GitHub\Terrasight-Eurosat-RGB-vs-Multispectral\data\raw\rgb\AnnualCrop\AnnualCrop_1674.jpg,0,0,AnnualCrop,AnnualCrop,0.9999872446060181,1,0.9999872446060181,8.155730431280706e-12,1.4875604392727837e-07,7.34663245793854e-08,3.982592922113781e-09,1.6454993101433502e-07,8.532286301488057e-06,9.475859224887528e-15,3.873467903758865e-06,1.4905646494867142e-08
C:\Users\DELL Precision 5550\Documents\GitHub\Terrasight-Eurosat-RGB-vs-Multispectral\data\raw\rgb\SeaLake\SeaLake_1387.jpg,9,9,SeaLake,SeaLake,0.9999765157699585,1,1.5130926840356551e-05,1.8816119791154051e-06,6.18129973872783e-08,5.95567939853936e-07,2.1148309770069318e-08,5.421185051091015e-06,3.767480494243358e-10,9.977086934398471e-10,4.23678756078516e-07,0.9999765157699585
C:\Users\DELL Precision 5550\Documents\GitHub\Terrasight-Eurosat-RGB-vs-Multispectral\data\raw\rgb\Forest\Forest_1109.jpg,1,1,Forest,Forest,0.8271496891975403,1,0.000548947777133435,0.8271496891975403,0.0005887519801035523,0.00024643403594382107,3.4555105230538175e-06,1.3332227354112547e-05,4.787071702594403e-06,0.0002009035524679348,9.390860941493884e-05,0.17114977538585663
C:\Users\DELL Precision 5550\Documents\GitHub\Terrasight-Eurosat-RGB-vs-Multispectral\data\raw\rgb\AnnualCrop\AnnualCrop_799.jpg,0,0,AnnualCrop,AnnualCrop,0.8892436623573303,1,0.8892436623573303,0.0004580894310493022,0.002997745992615819,0.00415083160623908,3.251066300435923e-05,0.0057847523130476475,0.001318624010309577,1.2348101563475211e-06,0.09496647119522095,0.0010460731573402882
C:\Users\DELL Precision 5550\Documents\GitHub\Terrasight-Eurosat-RGB-vs-Multispectral\data\raw\rgb\AnnualCrop\AnnualCrop_2030.jpg,0,0,AnnualCrop,AnnualCrop,0.9960193037986755,1,0.9960193037986755,0.0004924756940454245,7.512327283620834e-05,0.0006196213071234524,3.064558404730633e-05,0.0008826189441606402,0.0009245851542800665,1.771643951542501e-07,0.0008502565324306488,0.00010512878361623734
C:\Users\DELL Precision 5550\Documents\GitHub\Terrasight-Eurosat-RGB-vs-Multispectral\data\raw\rgb\SeaLake\SeaLake_2697.jpg,9,9,SeaLake,SeaLake,0.9999995231628418,1,2.903574340962223e-07,1.662774309352244e-07,3.940488468856529e-08,3.506381318629792e-08,6.997316948087473e-09,5.142121395351751e-08,1.434027115804204e-11,4.768159755919044e-10,2.3006991867191573e-08,0.9999995231628418
C:\Users\DELL Precision 5550\Documents\GitHub\Terrasight-Eurosat-RGB-vs-Multispectral\data\raw\rgb\AnnualCrop\AnnualCrop_922.jpg,0,0,AnnualCrop,AnnualCrop,0.9999831914901733,1,0.9999831914901733,4.570448620261347e-12,5.15883759322211e-11,3.0756027058487234e-08,7.633763061676291e-07,3.701770978636887e-08,2.834125325534842e-07,1.9809432482494234e-15,1.5735025954199955e-05,9.068936890344048e-08
C:\Users\DELL Precision 5550\Documents\GitHub\Terrasight-Eurosat-RGB-vs-Multispectral\data\raw\rgb\HerbaceousVegetation\HerbaceousVegetation_2337.jpg,2,2,HerbaceousVegetation,HerbaceousVegetation,0.9705572724342346,1,2.599319088858465e-07,2.2837244595397266e-10,0.9705572724342346,3.5622760297115974e-09,1.511098246531617e-09,3.5437099086266244e-06,0.029438886791467667,1.0637963426818331e-10,2.2193897830646847e-09,3.2973419133996984e-11
C:\Users\DELL Precision 5550\Documents\GitHub\Terrasight-Eurosat-RGB-vs-Multispectral\data\raw\rgb\Pasture\Pasture_18.jpg,5,5,Pasture,Pasture,0.9994361996650696,1,0.0002378161734668538,6.160654447739944e-05,2.974024937429931e-05,0.0001454617449780926,1.7197788793055224e-06,0.9994361996650696,3.8667305489070714e-05,1.4195850894793693e-07,3.8636968383798376e-05,9.962220246961806e-06
C:\Users\DELL Precision 5550\Documents\GitHub\Terrasight-Eurosat-RGB-vs-Multispectral\data\raw\rgb\Industrial\Industrial_1837.jpg,4,4,Industrial,Industrial,0.9880177974700928,1,2.9452935450535733e-06,2.209995273005916e-06,0.0026030500885099173,0.0005840631783939898,0.9880177974700928,6.990236579440534e-05,0.0006565126241184771,0.008006084710359573,4.5444285206031054e-05,1.2067218449374195e-05
C:\Users\DELL Precision 5550\Documents\GitHub\Terrasight-Eurosat-RGB-vs-Multispectral\data\raw\rgb\SeaLake\SeaLake_376.jpg,9,9,SeaLake,SeaLake,0.999961256980896,1,8.06385651230812e-06,2.7596608560997993e-05,4.90014826937113e-07,8.94739969226066e-07,2.8617444058909314e-07,8.453997679680469e-07,1.712324615432692e-09,6.095829974128719e-08,4.520436220900592e-07,0.999961256980896
C:\Users\DELL Precision 5550\Documents\GitHub\Terrasight-Eurosat-RGB-vs-Multispectral\data\raw\rgb\Residential\Residential_1129.jpg,7,7,Residential,Residential,0.9999737739562988,1,3.922593908625141e-15,6.510538635984275e-13,4.146128926296733e-11,3.4053808661838048e-09,2.6265503038302995e-05,1.0807553636749123e-11,6.175116418205562e-09,0.9999737739562988,1.8866170778397695e-11,4.078037414050398e-14
C:\Users\DELL Precision 5550\Documents\GitHub\Terrasight-Eurosat-RGB-vs-Multispectral\data\raw\rgb\HerbaceousVegetation\HerbaceousVegetation_2853.jpg,2,2,HerbaceousVegetation,HerbaceousVegetation,0.9985432624816895,1,2.84974337461108e-08,3.3459905068866647e-08,0.9985432624816895,3.405160100555804e-07,8.15518887975486e-07,2.6815692422132997e-07,0.0014550085179507732,1.6909349653815298e-07,1.3558307898620114e-07,1.5855092794225811e-09
C:\Users\DELL Precision 5550\Documents\GitHub\Terrasight-Eurosat-RGB-vs-Multispectral\data\raw\rgb\PermanentCrop\PermanentCrop_1680.jpg,6,6,PermanentCrop,PermanentCrop,0.7347877621650696,1,1.2859995024427917e-07,2.3107848790004937e-07,0.2651765048503876,1.479286559913362e-08,1.3522289066258963e-08,3.530219692038372e-05,0.7347877621650696,1.1920440812218658e-07,1.160095841612474e-08,5.808317368738436e-12
