path,true_label,predicted_label,true_class,predicted_class,confidence,correct,prob_AnnualCrop,prob_Forest,prob_HerbaceousVegetation,prob_Highway,prob_Industrial,prob_Pasture,prob_PermanentCrop,prob_Residential,prob_River,prob_SeaLake
C:\Users\DELL Precision 5550\Documents\GitHub\Terrasight-Eurosat-RGB-vs-Multispectral\data\raw\multispectral\AnnualCrop\AnnualCrop_2035.tif,0,0,AnnualCrop,AnnualCrop,0.9860072135925293,1,0.9860072135925293,1.4962242858018726e-05,0.0009630790445953608,0.00016311887884512544,9.943963959813118e-05,0.009300454519689083,0.0021026283502578735,5.880029493710026e-05,7.323281170101836e-05,0.00121706398203969
C:\Users\DELL Precision 5550\Documents\GitHub\Terrasight-Eurosat-RGB-vs-Multispectral\data\raw\multispectral\Industrial\Industrial_926.tif,4,4,Industrial,Industrial,0.9992198944091797,1,2.1034027852806503e-08,3.285781868811455e-09,1.1603450502661872e-06,1.2646948562178295e-05,0.9992198944091797,1.0341963019300238e-07,8.995735356620571e-07,0.000764928525313735,2.1988284970575478e-07,4.133576680942497e-08
C:\Users\DELL Precision 5550\Documents\GitHub\Terrasight-Eurosat-RGB-vs-Multispectral\data\raw\multispectral\AnnualCrop\AnnualCrop_705.tif,0,0,AnnualCrop,AnnualCrop,0.9761533737182617,1,0.9761533737182617,4.184322733635781e-06,9.081878670258448e-05,8.038076339289546e-05,0.0009685074328444898,0.0077575561590492725,0.014722623862326145,2.108693115587812e-05,0.00018899436690844595,1.2584162504936103e-05
C:\Users\DELL Precision 5550\Documents\GitHub\Terrasight-Eurosat-RGB-vs-Multispectral\data\raw\multispectral\Forest\Forest_2954.tif,1,1,Forest,Forest,0.9985663294792175,1,4.4461927473093965e-07,0.9985663294792175,1.3113361092109699e-05,3.0214177968446165e-05,2.8817098041145073e-07,3.944326454075053e-05,1.026806444315298e-06,0.00020059502276126295,0.001087528420612216,6.110875256126747e-05
C:\Users\DELL Precision 5550\Documents\GitHub\Terrasight-Eurosat-RGB-vs-Multispectral\data\raw\multispectral\Industrial\Industrial_70.tif,4,4,Industrial,Industrial,0.9999783039093018,1,3.8431760884805044e-08,1.160048359455379e-11,3.8356535014827386e-07,1.5320382829031587e-07,0.9999783039093018,5.689186899360266e-10,1.9172681277268566e-05,1.8662498177945963e-06,4.664685526734047e-09,4.653290808231958e-10
C:\Users\DELL Precision 5550\Documents\GitHub\Terrasight-Eurosat-RGB-vs-Multispectral\data\raw\multispectral\PermanentCrop\PermanentCrop_1176.tif,6,6,PermanentCrop,PermanentCrop,0.9991338849067688,1,0.00038464294630102813,6.535117336170515e-07,6.591078999917954e-05,1.4937428204575554e-05,9.617587056709453e-05,0.000293013290502131,0.9991338849067688,9.16798489924986e-06,1.4408135484700324e-06,2.3380545144391363e-07
C:\Users\DELL Precision 5550\Documents\GitHub\Terrasight-Eurosat-RGB-vs-Multispectral\data\raw\multispectral\HerbaceousVegetation\HerbaceousVegetation_2302.tif,2,2,HerbaceousVegetation,HerbaceousVegetation,0.9991562366485596,1,1.2108938790333923e-05,3.995365113951266e-05,0.9991562366485596,5.749908086727373e-05,4.4958314902032726e-06,1.1164514944539405e-05,0.0006936790887266397,3.7639529182342812e-06,1.661719215917401e-05,4.329276180214947e-06
C:\Users\DELL Precision 5550\Documents\GitHub\Terrasight-Eurosat-RGB-vs-Multispectral\data\raw\multispectral\Pasture\Pasture_683.tif,5,5,Pasture,Pasture,0.9916951060295105,1,0.003766144858673215,5.122630682308227e-06,2.3971409973455593e-05,0.0010040270863100886,0.0004302633460611105,0.9916951060295105,0.00019943273218814284,4.189209357718937e-05,0.0027668550610542297,6.725943239871413e-05
C:\Users\DELL Precision 5550\Documents\GitHub\Terrasight-Eurosat-RGB-vs-Multispectral\data\raw\multispectral\PermanentCrop\PermanentCrop_580.tif,6,6,PermanentCrop,PermanentCrop,0.5950821042060852,1,0.3360852897167206,6.426021627703449e-06,0.00018241335055790842,0.000200171212782152,0.0006099695456214249,0.06760397553443909,0.5950821042060852,3.144957372569479e-05,0.0001923650415847078,5.883990525035188e-06
C:\Users\DELL Precision 5550\Documents\GitHub\Terrasight-Eurosat-RGB-vs-Multispectral\data\raw\multispectral\Pasture\Pasture_1171.tif,5,5,Pasture,Pasture,0.9869133830070496,1,0.00848354771733284,0.00011775756865972653,0.0008542712894268334,6.949710950721055e-05,1.1443497896834742e-05,0.9869133830070496,0.0013958616182208061,6.882445632072631e-06,0.0020154777448624372,0.0001318707800237462
