model,accuracy,mean_confidence,ece,mce,brier_score,reliability_diagram,confidence_histogram
v1_multispectral_resnet18_adapted_seed42,0.9546296296296296,0.9783915381188746,0.026865458455350596,0.7266130745410919,0.07632455680469344,C:\Users\DELL Precision 5550\Documents\GitHub\Terrasight-Eurosat-RGB-vs-Multispectral\reports\figures\reliability\v1_multispectral_resnet18_adapted_seed42_reliability_diagram.png,C:\Users\DELL Precision 5550\Documents\GitHub\Terrasight-Eurosat-RGB-vs-Multispectral\reports\figures\reliability\v1_multispectral_resnet18_adapted_seed42_confidence_histogram.png
v1_multispectral_resnet18_scratch_seed42,0.932037037037037,0.9704906856296239,0.03845364859258689,0.22548151722079834,0.11040771213980322,C:\Users\DELL Precision 5550\Documents\GitHub\Terrasight-Eurosat-RGB-vs-Multispectral\reports\figures\reliability\v1_multispectral_resnet18_scratch_seed42_reliability_diagram.png,C:\Users\DELL Precision 5550\Documents\GitHub\Terrasight-Eurosat-RGB-vs-Multispectral\reports\figures\reliability\v1_multispectral_resnet18_scratch_seed42_confidence_histogram.png
v1_rgb_resnet18_scratch_seed42,0.942962962962963,0.9655981511153556,0.023117097698979926,0.1496357222398122,0.08935880060450216,C:\Users\DELL Precision 5550\Documents\GitHub\Terrasight-Eurosat-RGB-vs-Multispectral\reports\figures\reliability\v1_rgb_resnet18_scratch_seed42_reliability_diagram.png,C:\Users\DELL Precision 5550\Documents\GitHub\Terrasight-Eurosat-RGB-vs-Multispectral\reports\figures\reliability\v1_rgb_resnet18_scratch_seed42_confidence_histogram.png
v1_rgb_resnet18_seed42,0.965,0.9720545798264167,0.0075410335759321665,0.2836455404758453,0.05183701049166224,C:\Users\DELL Precision 5550\Documents\GitHub\Terrasight-Eurosat-RGB-vs-Multispectral\reports\figures\reliability\v1_rgb_resnet18_seed42_reliability_diagram.png,C:\Users\DELL Precision 5550\Documents\GitHub\Terrasight-Eurosat-RGB-vs-Multispectral\reports\figures\reliability\v1_rgb_resnet18_seed42_confidence_histogram.png
v4_ablation_full13_no_b10_resnet18_pretrained_adapted_seed42,0.9496296296296296,0.9688662007451058,0.019379897128652658,0.148410933741023,0.07809964698220181,C:\Users\DELL Precision 5550\Documents\GitHub\Terrasight-Eurosat-RGB-vs-Multispectral\reports\figures\reliability\v4_ablation_full13_no_b10_resnet18_pretrained_adapted_seed42_reliability_diagram.png,C:\Users\DELL Precision 5550\Documents\GitHub\Terrasight-Eurosat-RGB-vs-Multispectral\reports\figures\reliability\v4_ablation_full13_no_b10_resnet18_pretrained_adapted_seed42_confidence_histogram.png
v4_ablation_full13_resnet18_pretrained_adapted_seed42,0.9457407407407408,0.9478134998348025,0.0049953872406923935,0.2008709268910544,0.08300221818588191,C:\Users\DELL Precision 5550\Documents\GitHub\Terrasight-Eurosat-RGB-vs-Multispectral\reports\figures\reliability\v4_ablation_full13_resnet18_pretrained_adapted_seed42_reliability_diagram.png,C:\Users\DELL Precision 5550\Documents\GitHub\Terrasight-Eurosat-RGB-vs-Multispectral\reports\figures\reliability\v4_ablation_full13_resnet18_pretrained_adapted_seed42_confidence_histogram.png
v4_ablation_physical_bands_resnet18_pretrained_adapted_seed42,0.9540740740740741,0.9771725963221656,0.02527535966149084,0.19715672731399536,0.07483205202159933,C:\Users\DELL Precision 5550\Documents\GitHub\Terrasight-Eurosat-RGB-vs-Multispectral\reports\figures\reliability\v4_ablation_physical_bands_resnet18_pretrained_adapted_seed42_reliability_diagram.png,C:\Users\DELL Precision 5550\Documents\GitHub\Terrasight-Eurosat-RGB-vs-Multispectral\reports\figures\reliability\v4_ablation_physical_bands_resnet18_pretrained_adapted_seed42_confidence_histogram.png
v4_ablation_rgb_nir_resnet18_pretrained_adapted_seed42,0.9546296296296296,0.9720680515192173,0.017438421889587614,0.12837329110899165,0.06911725517191039,C:\Users\DELL Precision 5550\Documents\GitHub\Terrasight-Eurosat-RGB-vs-Multispectral\reports\figures\reliability\v4_ablation_rgb_nir_resnet18_pretrained_adapted_seed42_reliability_diagram.png,C:\Users\DELL Precision 5550\Documents\GitHub\Terrasight-Eurosat-RGB-vs-Multispectral\reports\figures\reliability\v4_ablation_rgb_nir_resnet18_pretrained_adapted_seed42_confidence_histogram.png
v4_ablation_rgb_rededge_nir_resnet18_pretrained_adapted_seed42,0.9538888888888889,0.9744512706608685,0.023015281574593708,0.12880556533734006,0.0759034065551902,C:\Users\DELL Precision 5550\Documents\GitHub\Terrasight-Eurosat-RGB-vs-Multispectral\reports\figures\reliability\v4_ablation_rgb_rededge_nir_resnet18_pretrained_adapted_seed42_reliability_diagram.png,C:\Users\DELL Precision 5550\Documents\GitHub\Terrasight-Eurosat-RGB-vs-Multispectral\reports\figures\reliability\v4_ablation_rgb_rededge_nir_resnet18_pretrained_adapted_seed42_confidence_histogram.png
v4_ablation_rgb_rededge_nir_swir_resnet18_pretrained_adapted_seed42,0.9566666666666667,0.9582475487280775,0.003925757330876816,0.2996024489402771,0.06635491978452464,C:\Users\DELL Precision 5550\Documents\GitHub\Terrasight-Eurosat-RGB-vs-Multispectral\reports\figures\reliability\v4_ablation_rgb_rededge_nir_swir_resnet18_pretrained_adapted_seed42_reliability_diagram.png,C:\Users\DELL Precision 5550\Documents\GitHub\Terrasight-Eurosat-RGB-vs-Multispectral\reports\figures\reliability\v4_ablation_rgb_rededge_nir_swir_resnet18_pretrained_adapted_seed42_confidence_histogram.png
