perturbation,description,accuracy,macro_f1,weighted_f1,balanced_accuracy,mean_confidence,n_samples,accuracy_drop,macro_f1_drop,balanced_accuracy_drop
dropout_B3,Replace B3 with 0.0.,0.4501851851851852,0.3585497846646038,0.35853917394014684,0.4445,0.8309023441815818,5400.0,0.5064814814814815,0.59700111509768,0.5098000000000001
dropout_B2,Replace B2 with 0.0.,0.7024074074074074,0.6692275713556068,0.6758629184533265,0.694,0.8434820193548997,5400.0,0.2542592592592593,0.28632332840667685,0.2603000000000002
dropout_B4,Replace B4 with 0.0.,0.7796296296296297,0.7749550433093026,0.7770986623517109,0.77505,0.8619371390259928,5400.0,0.177037037037037,0.18059585645298104,0.17925000000000013
random_band_dropout_p_0.1,Randomly drop each band with probability=0.1.,0.8596296296296296,0.8580659192636151,0.8591199555773033,0.8564333333333332,0.9229283928346854,5400.0,0.09703703703703703,0.0974849804986686,0.09786666666666699
dropout_B11,Replace B11 with 0.0.,0.9462962962962963,0.9446627632687032,0.9461931932811497,0.9435833333333334,0.9463387355815481,5400.0,0.010370370370370363,0.010888136493580447,0.010716666666666708
dropout_B8,Replace B8 with 0.0.,0.9483333333333334,0.9470348620704299,0.9485704342331999,0.9451666666666666,0.9499076715111733,5400.0,0.008333333333333304,0.008516037691853828,0.009133333333333549
dropout_B6,Replace B6 with 0.0.,0.9540740740740741,0.9528043855458013,0.9540632706201893,0.9514000000000001,0.9582424159292822,5400.0,0.002592592592592591,0.0027465142164824208,0.0029000000000000137
dropout_B12,Replace B12 with 0.0.,0.9540740740740741,0.9528242227385677,0.9541549797445014,0.9510833333333334,0.9555643096290253,5400.0,0.002592592592592591,0.0027266770237159843,0.0032166666666667565
dropout_B5,Replace B5 with 0.0.,0.9542592592592593,0.9531207056628033,0.9541800460390931,0.9522166666666667,0.9552836854148794,5400.0,0.0024074074074074137,0.0024301940994804205,0.002083333333333437
dropout_B8A,Replace B8A with 0.0.,0.9553703703703704,0.954251562717871,0.9553543463419949,0.9528333333333334,0.9576384458166581,5400.0,0.0012962962962962399,0.0012993370444126517,0.0014666666666667272
brightness_minus_0.05,Add brightness delta=-0.05.,0.9553703703703704,0.9542862986161349,0.9554539553183908,0.9530000000000001,0.9580774161605923,5400.0,0.0012962962962962399,0.0012646011461487916,0.0013000000000000789
dropout_B7,Replace B7 with 0.0.,0.9557407407407408,0.9545209344007913,0.9558055884120434,0.9530166666666668,0.9563954869354213,5400.0,0.0009259259259258856,0.0010299653614923576,0.001283333333333303
gaussian_noise_std_0.05,Add Gaussian noise with std=0.05.,0.9555555555555556,0.9545628572161476,0.9556426255005905,0.9530833333333332,0.9569333796423894,5400.0,0.0011111111111110628,0.0009880425461360476,0.0012166666666669768
gaussian_noise_std_0.02,Add Gaussian noise with std=0.02.,0.9557407407407408,0.9546455601074404,0.9558109174999306,0.9532666666666666,0.9581161464088493,5400.0,0.0009259259259258856,0.0009053396548432957,0.0010333333333335526
brightness_plus_0.05,Add brightness delta=0.05.,0.9562962962962963,0.9552408822552177,0.9563997539948391,0.9539833333333334,0.9582404081137093,5400.0,0.00037037037037035425,0.00031001750706594056,0.0003166666666667428
clean,No perturbation.,0.9566666666666667,0.9555508997622837,0.9567428923949031,0.9543000000000001,0.9582475487280775,5400.0,0.0,0.0,0.0
