,AnnualCrop,Forest,HerbaceousVegetation,Highway,Industrial,Pasture,PermanentCrop,Residential,River,SeaLake
AnnualCrop,0.0,5.508299689763521,3.5301021572588436,1.4090968247397249,4.216211210326125,4.293037440416414,1.9455703517773015,3.242428345429237,2.8769389781545636,17.75459465747626
Forest,5.508299689763521,0.0,5.138528523205268,2.811242685810182,6.463240996568424,3.447080977755112,5.545637402284854,5.412196892922523,3.269347287558681,11.975725730149712
HerbaceousVegetation,3.5301021572588436,5.138528523205268,0.0,1.6596063731935844,2.9710725394944166,3.4881932331879737,2.4862572705314823,3.018558031460225,2.508226317770002,10.350881623791935
Highway,1.4090968247397249,2.811242685810182,1.6596063731935844,0.0,1.952619242676981,2.3346429792269037,1.2044153973170286,1.4279992352025812,1.0362328131102234,12.808311479667257
Industrial,4.216211210326125,6.463240996568424,2.9710725394944166,1.952619242676981,0.0,6.26819784409123,2.9060262952654705,0.9653900865438734,2.583962778788652,11.6744321464022
Pasture,4.293037440416414,3.447080977755112,3.4881932331879737,2.3346429792269037,6.26819784409123,0.0,3.7015640075108456,5.273256027903633,2.632716536707796,22.734117755263465
PermanentCrop,1.9455703517773015,5.545637402284854,2.4862572705314823,1.2044153973170286,2.9060262952654705,3.7015640075108456,0.0,1.7949308796463432,2.375244550588615,22.695267022545224
Residential,3.242428345429237,5.412196892922523,3.018558031460225,1.4279992352025812,0.9653900865438734,5.273256027903633,1.7949308796463432,0.0,2.1661610919528127,12.843218558536075
River,2.8769389781545636,3.269347287558681,2.508226317770002,1.0362328131102234,2.583962778788652,2.632716536707796,2.375244550588615,2.1661610919528127,0.0,6.620188909421978
SeaLake,17.75459465747626,11.975725730149712,10.350881623791935,12.808311479667257,11.6744321464022,22.734117755263465,22.695267022545224,12.843218558536075,6.620188909421978,0.0
