class,B1,B2,B3,B4,B5,B6,B7,B8,B8A,B9,B10,B11,B12
AnnualCrop,1415.4520340983072,1257.6892270507813,1288.5729057617189,1403.120881266276,1692.6034025878905,2663.9783952636717,3189.2765415852864,3086.6646577148435,846.4048687337239,13.39927880859375,2657.501229329427,1692.8830660807291,3531.1121806640626
Forest,1110.525024576823,811.812572672526,687.3836041666667,415.42893961588544,747.7888484700521,2100.5645930175783,2690.190824625651,2636.086816731771,823.9605319010417,9.906864827473958,1313.7505048014323,535.4102605794271,3007.8742662760415
HerbaceousVegetation,1324.2873423665364,1114.5150008951823,1058.500693766276,1053.6202644856771,1371.772284423828,2062.1244526367186,2360.065771158854,2369.1663948567707,1052.2020982259114,16.47127783203125,2345.5579501953125,1441.6067639160156,2654.84226953125
Highway,1349.7000037109376,1109.546748828125,1037.2884696289063,947.6591301757812,1230.6152575195313,2168.2609052734374,2586.6872768554686,2510.091019140625,791.663771484375,12.12727119140625,1958.0608534179687,1196.040379296875,2840.578418359375
Industrial,1665.2002813476563,1466.2782231445312,1372.0616677734374,1367.2981104492187,1512.1958764648436,2002.372437890625,2238.420239160156,2120.5919560546877,633.7344109375,12.2848927734375,2056.1664991210937,1503.414334765625,2381.3215489257814
Pasture,1295.4056318359376,1008.2828256835937,946.7785720214844,659.8096887207031,1176.2789956054687,2797.3692904052737,3450.315260620117,3394.978717895508,1114.8015360107422,12.931047241210937,1972.6116798095702,951.3729997558594,3843.372055786133
PermanentCrop,1412.6354791015624,1224.1405655273438,1245.5349258789063,1315.2908013671874,1603.4665873046874,2457.04696953125,2870.111802832031,2779.6370072265627,812.4383326171875,13.57943330078125,2693.0990338867186,1756.4121186523437,3158.7486778320313
Residential,1458.2935513509115,1213.7022219238281,1114.1162150878906,1075.4954157714844,1288.1722810872395,1981.019711751302,2287.277278076172,2187.264693766276,665.5436905110677,12.293880615234375,1974.9555725097657,1382.5063010253907,2469.9663860677083
River,1304.9729306640625,1038.5831016601562,927.4967256835937,716.006623046875,932.4554116210937,1718.9845299804688,2073.0454544921877,1992.370765625,597.5582212890625,10.5381640625,1305.8756327148437,721.738582421875,2247.656641796875
SeaLake,1234.2900455729166,952.7891922200521,778.5518993326823,509.5707793782552,509.2308894042969,398.9071494954427,398.83480550130207,332.9066220703125,95.49639038085938,7.762280598958333,101.75934220377604,62.49826896158854,315.08220865885414
