class_a,class_b,bhattacharyya_distance,spectral_angle_degrees
Industrial,Residential,0.9653900865438734,5.081274905596287
Highway,River,1.0362328131102234,5.341174968901027
Highway,PermanentCrop,1.2044153973170286,5.539151150338026
AnnualCrop,Highway,1.4090968247397249,3.8676276875149935
Highway,Residential,1.4279992352025812,5.574782320094119
HerbaceousVegetation,Highway,1.6596063731935844,6.061575595357231
PermanentCrop,Residential,1.7949308796463432,4.5586015565835645
AnnualCrop,PermanentCrop,1.9455703517773015,2.8728018707742398
Highway,Industrial,1.952619242676981,10.357874050664629
Residential,River,2.1661610919528127,7.9833479972175905
