class_a,class_b,bhattacharyya_distance,spectral_angle_degrees
AnnualCrop,PermanentCrop,1.9455703517773015,2.8728018707742398
Forest,Pasture,3.447080977755112,3.6264093791047722
HerbaceousVegetation,PermanentCrop,2.4862572705314823,3.809057818227073
AnnualCrop,Highway,1.4090968247397249,3.8676276875149935
PermanentCrop,Residential,1.7949308796463432,4.5586015565835645
HerbaceousVegetation,Residential,3.018558031460225,5.0347994314604065
Industrial,Residential,0.9653900865438734,5.081274905596287
AnnualCrop,HerbaceousVegetation,3.5301021572588436,5.327430472677834
Highway,River,1.0362328131102234,5.341174968901027
Highway,PermanentCrop,1.2044153973170286,5.539151150338026
