class_a,class_b,bhattacharyya_distance,spectral_angle_degrees
Pasture,SeaLake,22.734117755263465,52.13503600544689
PermanentCrop,SeaLake,22.695267022545224,47.66711352275652
AnnualCrop,SeaLake,17.75459465747626,48.22942476819191
Residential,SeaLake,12.843218558536075,43.353185311422514
Highway,SeaLake,12.808311479667257,46.53377390437537
Forest,SeaLake,11.975725730149712,51.76037355610282
Industrial,SeaLake,11.6744321464022,39.6406153439184
HerbaceousVegetation,SeaLake,10.350881623791935,46.86171817672766
River,SeaLake,6.620188909421978,42.68377553330344
Forest,Industrial,6.463240996568424,21.7255529606973
