class_a,class_b,bhattacharyya_distance,spectral_angle_degrees
AnnualCrop,Forest,5.508299689763521,14.510784674936298
AnnualCrop,HerbaceousVegetation,3.5301021572588436,5.327430472677834
AnnualCrop,Highway,1.4090968247397249,3.8676276875149935
AnnualCrop,Industrial,4.216211210326125,10.004240155562254
AnnualCrop,Pasture,4.293037440416414,11.493913638622082
AnnualCrop,PermanentCrop,1.9455703517773015,2.8728018707742398
AnnualCrop,Residential,3.242428345429237,5.62758621856619
AnnualCrop,River,2.8769389781545636,8.774072878247589
AnnualCrop,SeaLake,17.75459465747626,48.22942476819191
Forest,HerbaceousVegetation,5.138528523205268,17.07050025528382
Forest,Highway,2.811242685810182,11.908250820052011
Forest,Industrial,6.463240996568424,21.7255529606973
Forest,Pasture,3.447080977755112,3.6264093791047722
Forest,PermanentCrop,5.545637402284854,16.882084285529192
Forest,Residential,5.412196892922523,17.26883918833152
Forest,River,3.269347287558681,11.190564849418388
Forest,SeaLake,11.975725730149712,51.76037355610282
HerbaceousVegetation,Highway,1.6596063731935844,6.061575595357231
HerbaceousVegetation,Industrial,2.9710725394944166,8.686709466640307
HerbaceousVegetation,Pasture,3.4881932331879737,14.162114084844978
HerbaceousVegetation,PermanentCrop,2.4862572705314823,3.809057818227073
HerbaceousVegetation,Residential,3.018558031460225,5.0347994314604065
HerbaceousVegetation,River,2.508226317770002,10.189407797214509
HerbaceousVegetation,SeaLake,10.350881623791935,46.86171817672766
Highway,Industrial,1.952619242676981,10.357874050664629
Highway,Pasture,2.3346429792269037,9.326169873834322
Highway,PermanentCrop,1.2044153973170286,5.539151150338026
Highway,Residential,1.4279992352025812,5.574782320094119
Highway,River,1.0362328131102234,5.341174968901027
Highway,SeaLake,12.808311479667257,46.53377390437537
Industrial,Pasture,6.26819784409123,19.531868854160383
Industrial,PermanentCrop,2.9060262952654705,8.55146596247027
Industrial,Residential,0.9653900865438734,5.081274905596287
Industrial,River,2.583962778788652,11.28447232676314
Industrial,SeaLake,11.6744321464022,39.6406153439184
Pasture,PermanentCrop,3.7015640075108456,13.872512669739036
Pasture,Residential,5.273256027903633,14.861891679822286
Pasture,River,2.632716536707796,10.072093911254925
Pasture,SeaLake,22.734117755263465,52.13503600544689
PermanentCrop,Residential,1.7949308796463432,4.5586015565835645
PermanentCrop,River,2.375244550588615,10.216583026856782
PermanentCrop,SeaLake,22.695267022545224,47.66711352275652
Residential,River,2.1661610919528127,7.9833479972175905
Residential,SeaLake,12.843218558536075,43.353185311422514
River,SeaLake,6.620188909421978,42.68377553330344
