,AnnualCrop,Forest,HerbaceousVegetation,Highway,Industrial,Pasture,PermanentCrop,Residential,River,SeaLake
AnnualCrop,0.0,14.510784674936298,5.327430472677834,3.8676276875149935,10.004240155562254,11.493913638622082,2.8728018707742398,5.62758621856619,8.774072878247589,48.22942476819191
Forest,14.510784674936298,0.0,17.07050025528382,11.908250820052011,21.7255529606973,3.6264093791047722,16.882084285529192,17.26883918833152,11.190564849418388,51.76037355610282
HerbaceousVegetation,5.327430472677834,17.07050025528382,0.0,6.061575595357231,8.686709466640307,14.162114084844978,3.809057818227073,5.0347994314604065,10.189407797214509,46.86171817672766
Highway,3.8676276875149935,11.908250820052011,6.061575595357231,0.0,10.357874050664629,9.326169873834322,5.539151150338026,5.574782320094119,5.341174968901027,46.53377390437537
Industrial,10.004240155562254,21.7255529606973,8.686709466640307,10.357874050664629,0.0,19.531868854160383,8.55146596247027,5.081274905596287,11.28447232676314,39.6406153439184
Pasture,11.493913638622082,3.6264093791047722,14.162114084844978,9.326169873834322,19.531868854160383,0.0,13.872512669739036,14.861891679822286,10.072093911254925,52.13503600544689
PermanentCrop,2.8728018707742398,16.882084285529192,3.809057818227073,5.539151150338026,8.55146596247027,13.872512669739036,0.0,4.5586015565835645,10.216583026856782,47.66711352275652
Residential,5.62758621856619,17.26883918833152,5.0347994314604065,5.574782320094119,5.081274905596287,14.861891679822286,4.5586015565835645,0.0,7.9833479972175905,43.353185311422514
River,8.774072878247589,11.190564849418388,10.189407797214509,5.341174968901027,11.28447232676314,10.072093911254925,10.216583026856782,7.9833479972175905,0.0,42.68377553330344
SeaLake,48.22942476819191,51.76037355610282,46.86171817672766,46.53377390437537,39.6406153439184,52.13503600544689,47.66711352275652,43.353185311422514,42.68377553330344,0.0
