analysis,class,before_model,after_model,before_f1,after_f1,gain
NIR vegetation effect,AnnualCrop,RGB,RGB+NIR,0.9297385620915032,0.9411764705882352,0.011437908496731986
NIR vegetation effect,Forest,RGB,RGB+NIR,0.9805249788314988,0.9817880794701986,0.0012631006386998322
NIR vegetation effect,HerbaceousVegetation,RGB,RGB+NIR,0.9262634631317316,0.9263502454991815,8.678236744996681e-05
NIR vegetation effect,Pasture,RGB,RGB+NIR,0.9328358208955224,0.9424724602203184,0.00963663932479597
NIR vegetation effect,PermanentCrop,RGB,RGB+NIR,0.8866599799398195,0.8893572181243414,0.002697238184521944
RedEdge crop effect,AnnualCrop,RGB+NIR,RGB+RedEdge+NIR,0.9411764705882352,0.9415692821368948,0.00039281154865966617
RedEdge crop effect,HerbaceousVegetation,RGB+NIR,RGB+RedEdge+NIR,0.9263502454991815,0.9248945147679324,-0.0014557307312491607
RedEdge crop effect,PermanentCrop,RGB+NIR,RGB+RedEdge+NIR,0.8893572181243414,0.8950495049504951,0.005692286826153636
SWIR urban/water effect,Highway,RGB+RedEdge+NIR,RGB+RedEdge+NIR+SWIR,0.9592850049652432,0.9554655870445344,-0.003819417920708723
SWIR urban/water effect,Industrial,RGB+RedEdge+NIR,RGB+RedEdge+NIR+SWIR,0.9565217391304348,0.9592039800995024,0.002682240969067551
SWIR urban/water effect,Residential,RGB+RedEdge+NIR,RGB+RedEdge+NIR+SWIR,0.9792874896437448,0.9825726141078838,0.0032851244641389776
SWIR urban/water effect,River,RGB+RedEdge+NIR,RGB+RedEdge+NIR+SWIR,0.9748237663645518,0.970970970970971,-0.0038527953935808545
SWIR urban/water effect,SeaLake,RGB+RedEdge+NIR,RGB+RedEdge+NIR+SWIR,0.9835255354200988,0.9916805324459236,0.008154997025824784
